membership_date,price_date_used,symbol
2023-03-31,2023-03-31,UNITDSPR
2023-03-31,2023-03-31,WELSPUNLIV
2024-03-28,2024-03-28,ABREL
2024-03-28,2024-03-28,AEGISLOG
2024-03-28,2024-03-28,ALOKINDS
2024-03-28,2024-03-28,COHANCE
2024-03-28,2024-03-28,ETERNAL
2024-03-28,2024-03-28,GMRAIRPORT
2024-03-28,2024-03-28,GVT&D
2024-03-28,2024-03-28,HBLENGINE
2024-03-28,2024-03-28,HSCL
2024-03-28,2024-03-28,JAIBALAJI
2024-03-28,2024-03-28,JSWDULUX
2024-03-28,2024-03-28,LTF
2024-03-28,2024-03-28,LTM
2024-03-28,2024-03-28,NETWORK18
2024-03-28,2024-03-28,SAMMAANCAP
2024-03-28,2024-03-28,SCHNEIDER
2024-03-28,2024-03-28,SPARC
2024-03-28,2024-03-28,SUZLON
2024-03-28,2024-03-28,SWANCORP
2024-03-28,2024-03-28,TATAINVEST
2024-03-28,2024-03-28,TMPV
2024-03-28,2024-03-28,TV18BRDCST
2024-03-28,2024-03-28,UNITDSPR
2025-03-31,2025-03-28,COHANCE
2025-03-31,2025-03-28,ETERNAL
2025-03-31,2025-03-28,ITI
2025-03-31,2025-03-28,JSWDULUX
2025-03-31,2025-03-28,LTM
2025-03-31,2025-03-28,SWANCORP
2025-03-31,2025-03-28,TMPV
2026-03-31,2026-03-30,JSWDULUX
2026-03-31,2026-03-30,SCHNEIDER
