index_id,index_name,symbol,valid_from,valid_to,weightage,source,source_url,notes,needs_manual_audit
221,Nifty 500,DYNAMATECH,2014-01-01,2017-03-31,,snapshot_floor,,closed by ind_prs16022017.pdf,True
221,Nifty 500,ECLERX,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,EDELWEISS,2014-01-01,2023-04-28,,snapshot_floor,,closed by ind_prs19042023_1.pdf,True
221,Nifty 500,EICHERMOT,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,EIDPARRY,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,EIHOTEL,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,EMAMILTD,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,ENGINERSIN,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,EPIGRAL,2014-01-01,2024-03-28,,snapshot_floor,,closed by ind_prs28022024.pdf,True
221,Nifty 500,EPL,2014-01-01,2018-04-02,,snapshot_floor,,closed by ind_prs21022018.pdf,True
221,Nifty 500,EQUITAS,2014-01-01,2022-09-30,,snapshot_floor,,closed by ind_prs16092022.pdf,True
221,Nifty 500,EROSMEDIA,2014-01-01,2019-03-29,,snapshot_floor,,closed by ind_prs25022019.pdf,True
221,Nifty 500,ESCORTS,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,EXIDEIND,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,FDC,2014-01-01,2017-09-29,,snapshot_floor,,closed by ind_prs28082017.pdf,True
221,Nifty 500,FEDERALBNK,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,FINCABLES,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,FINPIPE,2014-01-01,2026-03-30,,snapshot_floor,,closed by ind_prs23022026.pdf,True
221,Nifty 500,FORTIS,2014-01-01,2018-02-05,,snapshot_floor,,closed by ind_prs08012018.pdf,True
221,Nifty 500,FRL,2014-01-01,2015-12-14,,snapshot_floor,,closed by ind_prs07122015.pdf,True
221,Nifty 500,FSL,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,GAIL,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,GAMMONIND,2014-01-01,2015-09-28,,snapshot_floor,,closed by ind_prs12082015.pdf,True
221,Nifty 500,GATI,2014-01-01,2018-09-28,,snapshot_floor,,closed by ind_prs28082018.pdf,True
221,Nifty 500,GDL,2014-01-01,2019-09-27,,snapshot_floor,,closed by ind_prs28082019.pdf,True
221,Nifty 500,GEPIL,2014-01-01,2021-09-30,,snapshot_floor,,closed by ind_prs15092021.pdf,True
221,Nifty 500,GESHIP,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,GET&D,2014-01-01,2020-09-25,,snapshot_floor,,closed by ind_prs20082020.pdf,True
221,Nifty 500,GILLETTE,2014-01-01,2022-03-31,,snapshot_floor,,closed by ind_prs24022022_1.pdf,True
221,Nifty 500,GLAXO,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,GLENMARK,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,GMDCLTD,2014-01-01,2021-03-31,,snapshot_floor,,closed by ind_prs23022021.pdf,True
221,Nifty 500,GMRAIRPORT,2014-01-01,2021-10-29,,snapshot_floor,,closed by ind_prs22102021.pdf,True
221,Nifty 500,GODFRYPHLP,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,GODREJCP,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,GODREJIND,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,GODREJPROP,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,GPPL,2014-01-01,2025-09-30,,snapshot_floor,,closed by ind_prs22082025.pdf,True
221,Nifty 500,GRANULES,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,GRASIM,2014-01-01,2017-05-26,,snapshot_floor,,closed by ind_prs27042017.pdf,True
221,Nifty 500,GREAVESCOT,2014-01-01,2022-03-31,,snapshot_floor,,closed by ind_prs24022022_1.pdf,True
221,Nifty 500,GREENPLY,2014-01-01,2019-03-29,,snapshot_floor,,closed by ind_prs25022019.pdf,True
221,Nifty 500,GRINDWELL,2014-01-01,2017-09-29,,snapshot_floor,,closed by ind_prs28082017.pdf,True
221,Nifty 500,GSFC,2014-01-01,2025-03-28,,snapshot_floor,,closed by ind_prs21022025.pdf,True
221,Nifty 500,GSPL,2014-01-01,2026-05-12,,snapshot_floor,,closed by ind_prs04052026.pdf,True
221,Nifty 500,GUJFLUORO,2014-01-01,2019-06-28,,snapshot_floor,,closed by ind_prs13062019.pdf,True
221,Nifty 500,GUJGASLTD,2014-01-01,2026-03-30,,snapshot_floor,,closed by ind_prs23022026.pdf,True
221,Nifty 500,GUJNRECOKE,2014-01-01,2015-09-28,,snapshot_floor,,closed by ind_prs12082015.pdf,True
221,Nifty 500,GVKPIL,2014-01-01,2019-03-29,,snapshot_floor,,closed by ind_prs25022019.pdf,True
221,Nifty 500,GVT&D,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,HATHWAY,2014-01-01,2019-12-27,,snapshot_floor,,closed by ind_prs19122019.pdf,True
221,Nifty 500,HAVELLS,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,HBLENGINE,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,HCC,2014-01-01,2019-03-29,,snapshot_floor,,closed by ind_prs25022019.pdf,True
221,Nifty 500,HCL-INSYS,2014-01-01,2019-03-29,,snapshot_floor,,closed by ind_prs25022019.pdf,True
221,Nifty 500,HCLTECH,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,HDFC,2014-01-01,2023-07-13,,snapshot_floor,,closed by ind_prs04072023.pdf,True
221,Nifty 500,HDFCBANK,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,HDIL,2014-01-01,2018-09-28,,snapshot_floor,,closed by ind_prs28082018.pdf,True
221,Nifty 500,HEIDELBERG,2014-01-01,2022-03-31,,snapshot_floor,,closed by ind_prs24022022_1.pdf,True
221,Nifty 500,HEROMOTOCO,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,HFCL,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,HIMATSEIDE,2014-01-01,2020-09-25,,snapshot_floor,,closed by ind_prs20082020.pdf,True
221,Nifty 500,HINDALCO,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,HINDCOPPER,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,HINDOILEXP,2014-01-01,2015-09-28,,snapshot_floor,,closed by ind_prs12082015.pdf,True
221,Nifty 500,HINDPETRO,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,HINDUNILVR,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,HINDZINC,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,HMVL,2014-01-01,2017-09-29,,snapshot_floor,,closed by ind_prs28082017.pdf,True
221,Nifty 500,HONAUT,2014-01-01,2017-09-29,,snapshot_floor,,closed by ind_prs28082017.pdf,True
221,Nifty 500,HOTELEELA,2014-01-01,2015-09-28,,snapshot_floor,,closed by ind_prs12082015.pdf,True
221,Nifty 500,HSIL,2014-01-01,2018-12-28,,snapshot_floor,,closed by ind_prs14122018.pdf,True
221,Nifty 500,HTMEDIA,2014-01-01,2018-06-29,,snapshot_floor,,closed by ind_prs20062018.pdf,True
221,Nifty 500,HUHTAMAKI,2014-01-01,2021-09-30,,snapshot_floor,,closed by ind_prs15092021.pdf,True
221,Nifty 500,IBREALEST,2014-01-01,2023-09-29,,snapshot_floor,,closed by ind_prs17082023.pdf,True
221,Nifty 500,ICICIBANK,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,ICIL,2014-01-01,2019-03-29,,snapshot_floor,,closed by ind_prs25022019.pdf,True
221,Nifty 500,ICRA,2014-01-01,2018-04-02,,snapshot_floor,,closed by ind_prs21022018.pdf,True
221,Nifty 500,IDBI,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,IDEA,2014-01-01,2024-09-30,,snapshot_floor,,closed by ind_prs23082024.pdf,True
221,Nifty 500,IDFC,2014-01-01,2024-10-10,,snapshot_floor,,closed by ind_prs04102024.pdf,True
221,Nifty 500,IDFCFIRSTB,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,IFCI,2014-01-01,2020-09-25,,snapshot_floor,,closed by ind_prs20082020.pdf,True
221,Nifty 500,IGARASHI,2014-01-01,2018-04-02,,snapshot_floor,,closed by ind_prs21022018.pdf,True
221,Nifty 500,IGL,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,IIFL,2014-01-01,2017-06-23,,snapshot_floor,,closed by ind_prs15062017.pdf,True
221,Nifty 500,IL&FSTRANS,2014-01-01,2019-03-29,,snapshot_floor,,closed by ind_prs25022019.pdf,True
221,Nifty 500,INDHOTEL,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,INDIACEM,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,INDIANB,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,INDIGO,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,INDOCO,2014-01-01,2019-09-27,,snapshot_floor,,closed by ind_prs28082019.pdf,True
221,Nifty 500,INDUSINDBK,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,INDUSTOWER,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,INFIBEAM,2014-01-01,2020-11-25,,snapshot_floor,,closed by ind_prs18112020.pdf,True
221,Nifty 500,INFY,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,INGERRAND,2014-01-01,2017-03-31,,snapshot_floor,,closed by ind_prs16022017.pdf,True
221,Nifty 500,INTELLECT,2014-01-01,2020-09-25,,snapshot_floor,,closed by ind_prs20082020.pdf,True
221,Nifty 500,IOB,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,IOC,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,IPAPPM,2014-01-01,2017-03-31,,snapshot_floor,,closed by ind_prs16022017.pdf,True
221,Nifty 500,IPCALAB,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,IRB,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,ITC,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,ITDCEM,2014-01-01,2020-06-26,,snapshot_floor,,closed by ind_prs10062020.pdf,True
221,Nifty 500,J&KBANK,2014-01-01,2021-03-31,,snapshot_floor,,closed by ind_prs23022021.pdf,True
221,Nifty 500,JAGRAN,2014-01-01,2021-03-31,,snapshot_floor,,closed by ind_prs23022021.pdf,True
221,Nifty 500,JAICORPLTD,2014-01-01,2021-03-31,,snapshot_floor,,closed by ind_prs23022021.pdf,True
221,Nifty 500,JBCHEPHARM,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,JBFIND,2014-01-01,2018-09-28,,snapshot_floor,,closed by ind_prs28082018.pdf,True
221,Nifty 500,JCHAC,2014-01-01,2019-03-29,,snapshot_floor,,closed by ind_prs25022019.pdf,True
221,Nifty 500,JETAIRWAYS,2014-01-01,2019-09-24,,snapshot_floor,,closed by ind_prs17092019_1.pdf,True
221,Nifty 500,JINDALPOLY,2014-01-01,2018-09-28,,snapshot_floor,,closed by ind_prs28082018.pdf,True
221,Nifty 500,JINDALSAW,2014-01-01,2016-04-29,,snapshot_floor,,closed by ind_prs22042016.pdf,True
221,Nifty 500,JINDALSTEL,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,JISLJALEQS,2014-01-01,2020-06-26,,snapshot_floor,,closed by ind_prs10062020.pdf,True
221,Nifty 500,JKIL,2014-01-01,2019-03-29,,snapshot_floor,,closed by ind_prs25022019.pdf,True
221,Nifty 500,JKLAKSHMI,2014-01-01,2025-03-28,,snapshot_floor,,closed by ind_prs21022025.pdf,True
221,Nifty 500,JKTYRE,2014-01-01,2022-03-31,,snapshot_floor,,closed by ind_prs24022022_1.pdf,True
221,Nifty 500,JMFINANCIL,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,JMTAUTOLTD,2014-01-01,2017-09-29,,snapshot_floor,,closed by ind_prs28082017.pdf,True
221,Nifty 500,JPASSOCIAT,2014-01-01,2019-09-27,,snapshot_floor,,closed by ind_prs28082019.pdf,True
221,Nifty 500,JPINFRATEC,2014-01-01,2017-03-31,,snapshot_floor,,closed by ind_prs16022017.pdf,True
221,Nifty 500,JPPOWER,2014-01-01,2017-03-31,,snapshot_floor,,closed by ind_prs16022017.pdf,True
221,Nifty 500,JSWDULUX,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,JSWENERGY,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,JSWHL,2014-01-01,2017-03-31,,snapshot_floor,,closed by ind_prs16022017.pdf,True
221,Nifty 500,JSWSTEEL,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,JUBLFOOD,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,KAJARIACER,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,KANSAINER,2014-01-01,2025-09-30,,snapshot_floor,,closed by ind_prs22082025.pdf,True
221,Nifty 500,KARURVYSYA,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,KEC,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,KESORAMIND,2014-01-01,2018-09-28,,snapshot_floor,,closed by ind_prs28082018.pdf,True
221,Nifty 500,KOLTEPATIL,2014-01-01,2021-03-31,,snapshot_floor,,closed by ind_prs23022021.pdf,True
221,Nifty 500,KOTAKBANK,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,KPIL,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,KPIT,2014-01-01,2018-09-28,,snapshot_floor,,closed by ind_prs31082018.pdf,True
221,Nifty 500,KSBPUMPS,2014-01-01,2017-03-31,,snapshot_floor,,closed by ind_prs16022017.pdf,True
221,Nifty 500,KSCL,2014-01-01,2022-03-31,,snapshot_floor,,closed by ind_prs24022022_1.pdf,True
221,Nifty 500,KTKBANK,2014-01-01,2021-03-31,,snapshot_floor,,closed by ind_prs23022021.pdf,True
221,Nifty 500,KWALITY,2014-01-01,2018-09-28,,snapshot_floor,,closed by ind_prs28082018.pdf,True
221,Nifty 500,LAKSHVILAS,2014-01-01,2020-06-26,,snapshot_floor,,closed by ind_prs10062020.pdf,True
221,Nifty 500,LALPATHLAB,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,LAOPALA,2014-01-01,2017-03-31,,snapshot_floor,,closed by ind_prs16022017.pdf,True
221,Nifty 500,LAXMIMACH,2014-01-01,2024-03-28,,snapshot_floor,,closed by ind_prs28022024.pdf,True
221,Nifty 500,LICHSGFIN,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,LINDEINDIA,2014-01-01,2017-03-31,,snapshot_floor,,closed by ind_prs16022017.pdf,True
221,Nifty 500,LITL,2014-01-01,2017-03-31,,snapshot_floor,,closed by ind_prs16022017.pdf,True
221,Nifty 500,LT,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,LTF,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,LUPIN,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,M&M,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,M&MFIN,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,MAGMA,2014-01-01,2020-06-26,,snapshot_floor,,closed by ind_prs10062020.pdf,True
221,Nifty 500,MAHINDCIE,2014-01-01,2020-09-25,,snapshot_floor,,closed by ind_prs20082020.pdf,True
221,Nifty 500,MAHLIFE,2014-01-01,2017-03-31,,snapshot_floor,,closed by ind_prs16022017.pdf,True
221,Nifty 500,MANAPPURAM,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,MANDHANA,2014-01-01,2015-12-14,,snapshot_floor,,closed by ind_prs07122015.pdf,True
221,Nifty 500,MANGCHEFER,2014-01-01,2015-09-28,,snapshot_floor,,closed by ind_prs12082015.pdf,True
