symbol,valid_from,valid_to,source,source_url,notes,needs_manual_audit,referenced_document
GRINDWELL,2014-01-01,2017-09-29,snapshot_floor,,closed by ind_prs28082017.pdf,True,ind_prs28082017.pdf
GSFC,2014-01-01,2025-03-28,snapshot_floor,,closed by ind_prs21022025.pdf,True,ind_prs21022025.pdf
GSPL,2014-01-01,2026-05-12,snapshot_floor,,closed by ind_prs04052026.pdf,True,ind_prs04052026.pdf
GUJFLUORO,2014-01-01,2019-06-28,snapshot_floor,,closed by ind_prs13062019.pdf,True,ind_prs13062019.pdf
GUJGASLTD,2014-01-01,2026-03-30,snapshot_floor,,closed by ind_prs23022026.pdf,True,ind_prs23022026.pdf
GUJNRECOKE,2014-01-01,2015-09-28,snapshot_floor,,closed by ind_prs12082015.pdf,True,ind_prs12082015.pdf
GVKPIL,2014-01-01,2019-03-29,snapshot_floor,,closed by ind_prs25022019.pdf,True,ind_prs25022019.pdf
GVT&D,2014-01-01,,snapshot_floor,,,True,
HATHWAY,2014-01-01,2019-12-27,snapshot_floor,,closed by ind_prs19122019.pdf,True,ind_prs19122019.pdf
HAVELLS,2014-01-01,,snapshot_floor,,,True,
HBLENGINE,2014-01-01,,snapshot_floor,,,True,
HCC,2014-01-01,2019-03-29,snapshot_floor,,closed by ind_prs25022019.pdf,True,ind_prs25022019.pdf
HCL-INSYS,2014-01-01,2019-03-29,snapshot_floor,,closed by ind_prs25022019.pdf,True,ind_prs25022019.pdf
HCLTECH,2014-01-01,,snapshot_floor,,,True,
HDFC,2014-01-01,2023-07-13,snapshot_floor,,closed by ind_prs04072023.pdf,True,ind_prs04072023.pdf
HDFCBANK,2014-01-01,,snapshot_floor,,,True,
HDIL,2014-01-01,2018-09-28,snapshot_floor,,closed by ind_prs28082018.pdf,True,ind_prs28082018.pdf
HEIDELBERG,2014-01-01,2022-03-31,snapshot_floor,,closed by ind_prs24022022_1.pdf,True,ind_prs24022022_1.pdf
HEROMOTOCO,2014-01-01,,snapshot_floor,,,True,
HFCL,2014-01-01,,snapshot_floor,,,True,
HIMATSEIDE,2014-01-01,2020-09-25,snapshot_floor,,closed by ind_prs20082020.pdf,True,ind_prs20082020.pdf
HINDALCO,2014-01-01,,snapshot_floor,,,True,
HINDCOPPER,2014-01-01,,snapshot_floor,,,True,
HINDOILEXP,2014-01-01,2015-09-28,snapshot_floor,,closed by ind_prs12082015.pdf,True,ind_prs12082015.pdf
HINDPETRO,2014-01-01,,snapshot_floor,,,True,
HINDUNILVR,2014-01-01,,snapshot_floor,,,True,
HINDZINC,2014-01-01,,snapshot_floor,,,True,
HMVL,2014-01-01,2017-09-29,snapshot_floor,,closed by ind_prs28082017.pdf,True,ind_prs28082017.pdf
HONAUT,2014-01-01,2017-09-29,snapshot_floor,,closed by ind_prs28082017.pdf,True,ind_prs28082017.pdf
HOTELEELA,2014-01-01,2015-09-28,snapshot_floor,,closed by ind_prs12082015.pdf,True,ind_prs12082015.pdf
HSIL,2014-01-01,2018-12-28,snapshot_floor,,closed by ind_prs14122018.pdf,True,ind_prs14122018.pdf
HTMEDIA,2014-01-01,2018-06-29,snapshot_floor,,closed by ind_prs20062018.pdf,True,ind_prs20062018.pdf
HUHTAMAKI,2014-01-01,2021-09-30,snapshot_floor,,closed by ind_prs15092021.pdf,True,ind_prs15092021.pdf
IBREALEST,2014-01-01,2023-09-29,snapshot_floor,,closed by ind_prs17082023.pdf,True,ind_prs17082023.pdf
ICICIBANK,2014-01-01,,snapshot_floor,,,True,
ICIL,2014-01-01,2019-03-29,snapshot_floor,,closed by ind_prs25022019.pdf,True,ind_prs25022019.pdf
ICRA,2014-01-01,2018-04-02,snapshot_floor,,closed by ind_prs21022018.pdf,True,ind_prs21022018.pdf
IDBI,2014-01-01,,snapshot_floor,,,True,
IDEA,2014-01-01,2024-09-30,snapshot_floor,,closed by ind_prs23082024.pdf,True,ind_prs23082024.pdf
IDFC,2014-01-01,2024-10-10,snapshot_floor,,closed by ind_prs04102024.pdf,True,ind_prs04102024.pdf
