event_id,security_id,symbol,series,ex_date,primary_class,purpose_normalized,source_file,repair_status,parsed_amount_or_ratio,membership_status,identity_candidate_count,identity_mapping_method,treatment_reviewed_for_in_universe_event,accepted_status,accepted_evidence,previous_close,ex_date_close,calculated_price_return,application_status,application_reason,cash_effect,share_effect,entitlement_effect,calculated_total_return
CA_eb37ff29113a8ee38776,NSE_8A358CA8F00D,DEEPAKNTR,EQ,2014-06-20,SPLIT,BONUS 1 : 1 / FACE VALUE SPLIT FROM RS 10/- EACH TO RS 2/- EACH,corporate_actions_20140601_20140630.json,UNCHANGED,10.0:2.0,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,904.75,96.25,-0.8936170212765957,RETURN_UNAVAILABLE_EXPLICIT,ORDINARY_ACTION_PARSE_UNVERIFIED,0.0,1.0,0.0,
CA_019fd8c24a498ee04449,NSE_0E88CB8DDD57,LAKSHVILAS,EQ,2014-07-25,RIGHTS,DIVIDEND RE1/- PER SHARE + RIGHTS ISSUE 5:6,corporate_actions_20140701_20140731.json,UNCHANGED,,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,111.7,82.55,-0.26096687555953446,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_8d931be6e8294f897529,NSE_8407496D15F8,SUDARSCHEM,EQ,2014-09-30,SPLIT,BONUS 1 : 1 / FACE VALUE SPLIT FROM RS 10/- TO RS 2/- PER SHARE,corporate_actions_20140901_20140930.json,UNCHANGED,10.0:2.0,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,1127.6,109.6,-0.9028024122029088,RETURN_UNAVAILABLE_EXPLICIT,ORDINARY_ACTION_PARSE_UNVERIFIED,0.0,1.0,0.0,
CA_3432097b522ad3df4a38,NSE_1846247E74B4,JBMA,EQ,2014-10-08,SPLIT,BONUS 1:1 AND FACE VALUE SPLIT RS.10/- TO RS.5/- PER SHARE,corporate_actions_20141001_20141031.json,REPARSED,10.0:5.0,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,1037.7,248.9,-0.7601426231087983,RETURN_UNAVAILABLE_EXPLICIT,ORDINARY_ACTION_PARSE_UNVERIFIED,0.0,1.0,0.0,
CA_86c24bc61ce401233144,NSE_A787B7252904,POLARIS,EQ,2014-10-09,STRUCTURAL,SCHEME OF ARRANGEMENT CUM DEMERGER,corporate_actions_20141001_20141031.json,UNCHANGED,,OUTSIDE_MEMBERSHIP,1,DATED_ALIAS,False,,,248.0,210.0,-0.15322580645161288,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_faa277a19bfa2ac115cc,NSE_1789CF98709C,BLUEDART,EQ,2014-11-17,DEBENTURE_ENTITLEMENT,SCHEME OF ARRANGEMENT - ISSUE OF BONUS DEBENTURES,corporate_actions_20141101_20141130.json,RECLASSIFIED,,IN_MEMBERSHIP,1,ACCEPTED_TREATMENT,True,UNRESOLVED_STRUCTURAL_EVENT,LOCAL_NSE_CA_API:corporate_actions_20141101_20141130.json;BLUEDART_BONUS_DEBENTURE_TERMS;BLUEDART_AR_2014_15;NSE_BLUEDART_LISTING_2014_11_26;FIMMDA_VALUATION_CIRCULAR_2012,6511.5,6496.55,-0.0022959379559240878,RETURN_UNAVAILABLE_EXPLICIT,ACCEPTED_STRICT_RETURN_EXCEPTION,0.0,1.0,0.0,
CA_498bf6927d49bd14c5e9,NSE_E33BF28052EC,GREENPLY,EQ,2014-11-26,STRUCTURAL,SCHEME OF DEMERGER,corporate_actions_20141101_20141130.json,UNCHANGED,,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,1108.9,948.1,-0.14500856704842646,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_649d1a91c6704b6cc989,NSE_D92A46834C0F,MINDACORP,EQ,2015-01-05,SPLIT,BONUS 1:1 / FACE VALUE SPLIT FROM RS 10/- PER SHARE TO RS 2/- PER SHARE,corporate_actions_20150101_20150131.json,UNCHANGED,10.0:2.0,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,911.25,95.7,-0.8949794238683128,RETURN_UNAVAILABLE_EXPLICIT,ORDINARY_ACTION_PARSE_UNVERIFIED,0.0,1.0,0.0,
CA_22cfc3b9a81fe7f57ff6,NSE_B3968699E9E2,INTELLECT,EQ,2015-01-16,STRUCTURAL,SCHEME OF ARRANGEMENT-TO ASCERTAIN ELIGIBLE MEMBERS TO PROVIDE OPTION TO OPT FOR NCD IN PLACE OF EQUITY SHARES,corporate_actions_20150101_20150131.json,UNCHANGED,,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,119.95,126.95,0.05835764902042517,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_df82d8fc43ad7e21c2a8,NSE_4FB8019524D0,NTPC,EQ,2015-03-20,DEBENTURE_ENTITLEMENT,SCHEME OF ARRANGEMENT - BONUS DEBENTURES 1:1,corporate_actions_20150301_20150331.json,RECLASSIFIED,,IN_MEMBERSHIP,1,ACCEPTED_TREATMENT,True,UNRESOLVED_STRUCTURAL_EVENT,LOCAL_NSE_CA_API:corporate_actions_20150301_20150331.json;BSE_NTPC_COUPON_ANNOUNCEMENT_2015_03_20;NTPC_BONUS_DEBENTURE_TRANSCRIPT;NTPC_PIB_RELEASE_2015_03_26;NSE_NTPC_LISTING_2015_03_27;FIMMDA_VALUATION_CIRCULAR_2012,154.75,145.5,-0.05977382875605819,RETURN_UNAVAILABLE_EXPLICIT,ACCEPTED_STRICT_RETURN_EXCEPTION,0.0,1.0,0.0,
CA_46f159e1e6f12e1e79cb,NSE_148E052CEC64,GRANULES,EQ,2015-03-23,SPLIT,FACE VALUE SPLIT RS 10 TO RS 1,corporate_actions_20150301_20150331.json,UNCHANGED,,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,856.4,88.75,-0.8963685193834656,RETURN_UNAVAILABLE_EXPLICIT,ORDINARY_ACTION_PARSE_UNVERIFIED,0.0,1.0,0.0,
CA_73d0e9f8b8e4a8fdb881,NSE_DCA00C31EBFD,BALKRISIND,EQ,2015-03-24,STRUCTURAL,SCHEME OF ARRANGEMENT,corporate_actions_20150301_20150331.json,UNCHANGED,,OUTSIDE_MEMBERSHIP,1,DATED_ALIAS,False,,,615.3,604.6,-0.017389891110027533,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_916df9023b5865eabede,NSE_D8A31493DD0A,TATAMTRDVR,EQ,2015-04-06,RIGHTS,RIGHTS 6:109 @ PREMIUM RS.269/- PER SHARE,corporate_actions_20150401_20150430.json,UNCHANGED,,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,338.05,341.45,0.010057683774589599,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_379f438e0fa82febbf97,NSE_D67F47161F2D,SFCL,EQ,2015-04-23,STRUCTURAL,DEMERGER,corporate_actions_20150401_20150430.json,UNCHANGED,,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,167.7,165.35,-0.014013118664281454,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_ee115bb800808115f870,NSE_C60D64EC58FE,ARVIND,EQ,2015-05-28,STRUCTURAL,SCHEME OF ARRANGEMENT,corporate_actions_20150501_20150531.json,UNCHANGED,,OUTSIDE_MEMBERSHIP,1,DATED_ALIAS,False,,,224.05,238.2,0.06315554563713444,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_8d241ef7b6f51f1aae85,NSE_42CD50DCCBD6,ADANIENT,EQ,2015-06-03,STRUCTURAL,SCHEME OF ARRANGEMENT,corporate_actions_20150601_20150630.json,UNCHANGED,,OUTSIDE_MEMBERSHIP,1,DATED_ALIAS,False,,,637.0,109.75,-0.8277080062794349,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_e90a53f3da415ef42ae8,NSE_71E0266D5F31,MASTEK,EQ,2015-06-12,STRUCTURAL,SCHEME OF ARRANGEMENT,corporate_actions_20150601_20150630.json,UNCHANGED,,OUTSIDE_MEMBERSHIP,1,DATED_ALIAS,False,,,438.05,148.95,-0.659970323022486,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_e55059d9cb22496269b8,NSE_EC27C1265F27,BAYERCROP,EQ,2015-08-03,BUYBACK,BUYBACK OF SHARES,corporate_actions_20150801_20150831.json,UNCHANGED,,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,4002.6,3920.85,-0.020424224254234735,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_de9806670c7649a3e8cf,NSE_1671B749B56F,IDFC,HA,2015-09-29,STRUCTURAL,DEMERGER,corporate_actions_20150901_20150930.json,UNCHANGED,,OUTSIDE_MEMBERSHIP,1,DATED_ALIAS,False,,,140.5,138.9,-0.011387900355871894,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_e583c5277bfb87e79410,NSE_1671B749B56F,IDFC,HB,2015-09-29,STRUCTURAL,DEMERGER,corporate_actions_20150901_20150930.json,UNCHANGED,,OUTSIDE_MEMBERSHIP,1,DATED_ALIAS,False,,,140.5,138.9,-0.011387900355871894,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_6e65f1f070c79719ea69,NSE_1671B749B56F,IDFC,HC,2015-09-29,STRUCTURAL,DEMERGER,corporate_actions_20150901_20150930.json,UNCHANGED,,OUTSIDE_MEMBERSHIP,1,DATED_ALIAS,False,,,140.5,138.9,-0.011387900355871894,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_9b94d0d6784fccc6c6f0,NSE_1671B749B56F,IDFC,HD,2015-09-29,STRUCTURAL,DEMERGER,corporate_actions_20150901_20150930.json,UNCHANGED,,OUTSIDE_MEMBERSHIP,1,DATED_ALIAS,False,,,140.5,138.9,-0.011387900355871894,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_d2da918a2e1d1a015e22,NSE_1671B749B56F,IDFC,HE,2015-09-29,STRUCTURAL,DEMERGER,corporate_actions_20150901_20150930.json,UNCHANGED,,OUTSIDE_MEMBERSHIP,1,DATED_ALIAS,False,,,140.5,138.9,-0.011387900355871894,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_7fff13b3128fa831178b,NSE_1671B749B56F,IDFC,H1,2015-09-29,STRUCTURAL,DEMERGER,corporate_actions_20150901_20150930.json,UNCHANGED,,OUTSIDE_MEMBERSHIP,1,DATED_ALIAS,False,,,140.5,138.9,-0.011387900355871894,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_9748c044a432c07eae8a,NSE_1671B749B56F,IDFC,H9,2015-09-29,STRUCTURAL,DEMERGER,corporate_actions_20150901_20150930.json,UNCHANGED,,OUTSIDE_MEMBERSHIP,1,DATED_ALIAS,False,,,140.5,138.9,-0.011387900355871894,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_459e414d3b71cfec6676,NSE_1671B749B56F,IDFC,H3,2015-09-29,STRUCTURAL,DEMERGER,corporate_actions_20150901_20150930.json,UNCHANGED,,OUTSIDE_MEMBERSHIP,1,DATED_ALIAS,False,,,140.5,138.9,-0.011387900355871894,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_b4f80bbd69424f6b183a,NSE_1671B749B56F,IDFC,H4,2015-09-29,STRUCTURAL,DEMERGER,corporate_actions_20150901_20150930.json,UNCHANGED,,OUTSIDE_MEMBERSHIP,1,DATED_ALIAS,False,,,140.5,138.9,-0.011387900355871894,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_e683a8a93f0015fe52fe,NSE_1671B749B56F,IDFC,H5,2015-09-29,STRUCTURAL,DEMERGER,corporate_actions_20150901_20150930.json,UNCHANGED,,OUTSIDE_MEMBERSHIP,1,DATED_ALIAS,False,,,140.5,138.9,-0.011387900355871894,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_a61682fef95fbe7aed84,NSE_1671B749B56F,IDFC,H6,2015-09-29,STRUCTURAL,DEMERGER,corporate_actions_20150901_20150930.json,UNCHANGED,,OUTSIDE_MEMBERSHIP,1,DATED_ALIAS,False,,,140.5,138.9,-0.011387900355871894,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_a3bb8578d375a947c2b3,NSE_1671B749B56F,IDFC,H7,2015-09-29,STRUCTURAL,DEMERGER,corporate_actions_20150901_20150930.json,UNCHANGED,,OUTSIDE_MEMBERSHIP,1,DATED_ALIAS,False,,,140.5,138.9,-0.011387900355871894,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_fb9bbe6d8818ab95b335,NSE_1671B749B56F,IDFC,H8,2015-09-29,STRUCTURAL,DEMERGER,corporate_actions_20150901_20150930.json,UNCHANGED,,OUTSIDE_MEMBERSHIP,1,DATED_ALIAS,False,,,140.5,138.9,-0.011387900355871894,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_7287367d0d3ab252fb21,NSE_1671B749B56F,IDFC,H2,2015-09-29,STRUCTURAL,DEMERGER,corporate_actions_20150901_20150930.json,UNCHANGED,,OUTSIDE_MEMBERSHIP,1,DATED_ALIAS,False,,,140.5,138.9,-0.011387900355871894,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_9a44748e33a9e6bfc8f7,NSE_1671B749B56F,IDFC,EQ,2015-10-01,STRUCTURAL,DEMERGER,corporate_actions_20151001_20151031.json,UNCHANGED,,OUTSIDE_MEMBERSHIP,1,DATED_ALIAS,False,,,141.05,60.35,-0.5721375398794755,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_25d92bfd331e98d5bc85,,IDFCFIRSTB,H3,2015-10-29,BUYBACK,PAYMENT OF AMOUNT OF BUYBACK TO BONDHOLDERS,corporate_actions_20151001_20151031.json,UNCHANGED,,POSSIBLE_MEMBER_IDENTITY_UNRESOLVED,0,UNRESOLVED,False,,,,,,RETURN_UNAVAILABLE_EXPLICIT,POSSIBLE_MEMBER_IDENTITY_UNRESOLVED,0.0,1.0,0.0,
CA_eb8ec60bd0c8f1584789,,IDFCFIRSTB,H4,2015-10-29,BUYBACK,PAYMENT OF AMOUNT OF BUYBACK TO BONDHOLDERS,corporate_actions_20151001_20151031.json,UNCHANGED,,POSSIBLE_MEMBER_IDENTITY_UNRESOLVED,0,UNRESOLVED,False,,,,,,RETURN_UNAVAILABLE_EXPLICIT,POSSIBLE_MEMBER_IDENTITY_UNRESOLVED,0.0,1.0,0.0,
CA_da7d9673a7e339e185ee,NSE_329ABD1F5CCD,JSL,EQ,2015-11-19,STRUCTURAL,COMPOSITE SCHEME OF ARRANGEMENT,corporate_actions_20151101_20151130.json,UNCHANGED,,OUTSIDE_MEMBERSHIP,1,DATED_ALIAS,False,,,56.35,22.05,-0.6086956521739131,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_1ef6e0f15339c33531c0,NSE_98CBA18954BD,MFSL,EQ,2016-01-27,STRUCTURAL,SCHEME OF ARRANGEMENT,corporate_actions_20160101_20160131.json,UNCHANGED,,OUTSIDE_MEMBERSHIP,0,UNIQUE_ACCEPTED_ALIAS_WITH_EX_DATE_PANEL_ID,False,,,471.6,348.6,-0.26081424936386766,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
