date,tri,tri_wealth_from_development_anchor
2020-01-17,15188.79,15361608.09102402
2020-01-20,15049.24,15220470.290771175
2020-01-21,14991.99,15162568.900126422
2020-01-22,14931.11,15100996.20733249
2020-01-23,15043.86,15215029.077117573
2020-01-24,15138.19,15310432.36409608
2020-01-27,15011.93,15182735.777496839
2020-01-28,14947.9,15117977.243994944
2020-01-29,15026.51,15197481.668773703
2020-01-30,14891.25,15060682.680151707
2020-01-31,14804.57,14973016.43489254
2020-02-01,14421.13,14585213.653603034
2020-02-03,14488.18,14653026.548672566
2020-02-04,14792.21,14960515.80278129
2020-02-05,14939.95,15109936.788874842
2020-02-06,15019.88,15190776.23261694
2020-02-07,15014.96,15185800.252844501
2020-02-10,14932.29,15102189.633375473
2020-02-11,14994.85,15165461.441213654
2020-02-12,15070.16,15241628.318584071
2020-02-13,15041.87,15213016.43489254
2020-02-14,14956.99,15127170.670037927
2020-02-17,14855.22,15024242.730720608
2020-02-18,14789.34,14957613.147914033
2020-02-19,14977.03,15147438.685208596
2020-02-20,14959.29,15129496.839443741
2020-02-24,14659.13,14825921.618204804
2020-02-25,14609.32,14775544.879898863
2020-02-26,14456.09,14620571.42857143
2020-02-27,14391.08,14554821.744627055
2020-02-28,13875.34,14033213.653603034
2020-03-02,13790.7,13947610.619469026
2020-03-03,14014.65,14174108.723135272
2020-03-04,13915.97,14074305.941845765
2020-03-05,13950.63,14109360.3034134
2020-03-06,13620.11,13775079.646017699
2020-03-09,12976.16,13123802.781289507
2020-03-11,12956.37,13103787.61061947
2020-03-12,11879.72,12014887.484197218
2020-03-13,12273.36,12413006.321112515
2020-03-16,11418.58,11548500.632111251
2020-03-17,11157.03,11283974.715549937
2020-03-18,10545.38,10665365.360303411
2020-03-19,10243.87,10360424.778761063
2020-03-20,10774.99,10897587.86346397
2020-03-23,9400.96,9507924.14664981
2020-03-24,9588.01,9697102.402022757
2020-03-25,10128.06,10243297.092288243
2020-03-26,10535.69,10655565.107458914
2020-03-27,10550.2,10670240.2022756
2020-03-30,10167.46,10283145.385587862
2020-03-31,10540.43,10660359.039190898
2020-04-01,10186.74,10302644.753476612
2020-04-03,10000.86,10114649.810366625
2020-04-07,10770.05,10892591.65613148
2020-04-08,10788.81,10911565.107458914
2020-04-09,11210.95,11338508.217446271
2020-04-13,11088.47,11214634.639696587
2020-04-15,11064.34,11190230.088495575
2020-04-16,11166.67,11293724.39949431
2020-04-17,11471.14,11601658.659924146
2020-04-20,11471.44,11601962.073324906
2020-04-21,11141.94,11268713.021491783
2020-04-22,11349.73,11478867.256637169
2020-04-23,11487.6,11618305.941845765
2020-04-24,11288.98,11417426.042983565
2020-04-27,11455.42,11585759.7977244
2020-04-28,11558.67,11690184.57648546
2020-04-29,11747.42,11881082.174462706
2020-04-30,12072.43,12209790.139064476
2020-05-04,11445.71,11575939.317319848
2020-05-05,11335.14,11464111.251580277
2020-05-06,11414.15,11544020.22756005
2020-05-07,11331.86,11460793.931731984
2020-05-08,11378.76,11508227.56005057
2020-05-11,11385.39,11514932.996207332
2020-05-12,11331.93,11460864.728192162
2020-05-13,11551.54,11682973.451327436
2020-05-14,11321.91,11450730.720606826
2020-05-15,11306.13,11434771.175726926
2020-05-18,10916.21,11040414.664981036
2020-05-19,10975.77,11100652.33881163
2020-05-20,11190.26,11317582.806573957
2020-05-21,11256.18,11384252.844500633
2020-05-22,11173.94,11301077.117572693
2020-05-26,11186.72,11314002.528445005
2020-05-27,11444.46,11574675.094816687
2020-05-28,11650.41,11782968.394437421
2020-05-29,11793.53,11927716.814159293
2020-06-01,12092.03,12229613.147914033
2020-06-02,12268.95,12408546.144121366
2020-06-03,12369.15,12509886.219974715
2020-06-04,12343.37,12483812.895069534
2020-06-05,12514.41,12656798.988621997
2020-06-08,12551.5,12694310.998735778
2020-06-09,12422.12,12563458.912768649
2020-06-10,12505.4,12647686.472819217
2020-06-11,12270.08,12409689.001264222
2020-06-12,12359.8,12500429.835651075
2020-06-15,12193.99,12332733.249051834
2020-06-16,12293.24,12433112.515802782
2020-06-17,12275.42,12415089.759797724
2020-06-18,12491.6,12633729.456384324
2020-06-19,12674.39,12818599.241466498
2020-06-22,12799.59,12945223.76738306
2020-06-23,13002.86,13150806.573957017
2020-06-24,12814.6,12960404.551201012
2020-06-25,12820.09,12965957.016434893
2020-06-26,12909.57,13056455.120101137
2020-06-29,12803.28,12948955.75221239
2020-06-30,12783.45,12928900.12642225
2020-07-01,12904.08,13050902.654867256
2020-07-02,13050.9,13199393.173198482
2020-07-03,13123.96,13273284.45006321
2020-07-06,13304.7,13456080.910240203
2020-07-07,13356.96,13508935.524652338
2020-07-08,13258.49,13409345.132743362
2020-07-09,13366.65,13518735.777496839
2020-07-10,13309.97,13461410.872313527
2020-07-13,13341.27,13493067.003792668
2020-07-14,13129.11,13278493.046776233
2020-07-15,13124.91,13274245.259165613
2020-07-16,13243.11,13393790.139064476
2020-07-17,13437.95,13590847.029077118
2020-07-20,13573.78,13728222.503160557
2020-07-21,13702.98,13858892.54108723
2020-07-22,13666.9,13822402.022756005
2020-07-23,13770.13,13926806.573957017
2020-07-24,13727.72,13883914.032869784
2020-07-27,13635.55,13790695.32237674
2020-07-28,13812.2,13969355.246523388
2020-07-29,13743.53,13899903.91908976
2020-07-30,13648.72,13804015.170670038
2020-07-31,13654.79,13810154.235145386
2020-08-03,13499.05,13652642.225031605
2020-08-04,13715.13,13871180.78381795
2020-08-05,13738.57,13894887.484197218
2020-08-06,13862.69,14020419.72187105
2020-08-07,13907.39,14065628.318584071
2020-08-10,14013.13,14172571.42857143
2020-08-11,14047.06,14206887.484197218
2020-08-12,14037.7,14197420.986093553
2020-08-13,14077.17,14237340.07585335
2020-08-14,13935.92,14094482.932996208
2020-08-17,14017.08,14176566.371681416
2020-08-18,14189.88,14351332.490518332
2020-08-19,14237.02,14399008.849557523
2020-08-20,14171.02,14332257.901390646
2020-08-21,14254.38,14416566.371681416
2020-08-24,14367.48,14530953.223767383
2020-08-25,14383.96,14547620.733249051
2020-08-26,14474.1,14638786.346396966
2020-08-27,14494.78,14659701.643489255
2020-08-28,14586.35,14752313.527180783
2020-08-31,14179.34,14340672.566371681
2020-09-01,14285.55,14448091.024020227
2020-09-02,14402.98,14566857.142857144
2020-09-03,14427.92,14592080.910240203
2020-09-04,14190.8,14352262.958280656
2020-09-07,14192.59,14354073.324905183
2020-09-08,14118.09,14278725.663716814
2020-09-09,14058.29,14218245.259165613
2020-09-10,14255.36,14417557.522123894
2020-09-11,14295.07,14457719.342604298
2020-09-14,14366.63,14530093.552465234
2020-09-15,14488.25,14653097.345132744
2020-09-16,14578.07,14743939.317319848
2020-09-17,14479.79,14644541.087231353
2020-09-18,14468.91,14633537.294563843
2020-09-21,14096.2,14256586.599241467
2020-09-22,13946.28,14104960.809102401
2020-09-23,13916.67,14075013.906447535
2020-09-24,13538.89,13692935.52465234
2020-09-25,13858.78,14016465.233881162
2020-09-28,14122.42,14283104.930467762
2020-09-29,14106.45,14266953.223767383
2020-09-30,14139.78,14300662.452591656
2020-10-01,14321.32,14484268.01517067
