date,strategy,after_tax_nav,after_tax_daily_return,tax_liability,tax_paid_before_close,daily_fees_and_impact,realised_equity_exposure,nav_status,matched_before_tax_nav,matched_cost_tax_reversed_nav,after_tax_return,matched_before_tax_return,matched_cost_tax_reversed_return,zero_friction_reference_nav,zero_friction_reference_return
2023-03-31,FIX,16939838.373482753,0.006178577104751337,0.0,1521259.434375281,0.0,0.6796203677165011,UNPRICED_FRACTIONAL_SPLIT_CLAIM_EXCLUDED,18461097.807858035,19626003.474444408,0.006178577104751337,0.005666555555166042,0.005328423768710566,20373569.553284984,0.0034558618838905577
2015-04-01,FIXVOL,10139786.917307954,0.013978691730795356,0.0,0.0,17342.082692044776,0.6188093942378292,PRE_RIGHT_AUDITED,10139786.917307954,10157128.999999998,0.013978691730795356,0.013978691730795356,0.015712899999999808,10166092.319230016,0.016609231923001556
2015-04-06,FIXVOL,10280858.708811332,0.013912697836142573,0.0,-0.0,416.0084966221064,0.635394234569271,PRE_RIGHT_AUDITED,10280858.708811332,10298616.799999999,0.013912697836142573,0.013912697836142573,0.013929900860764954,10305764.053641606,0.013738979543535193
2015-04-07,FIXVOL,10333288.512243422,0.00509974943894087,6081.420382930234,-0.0,862.8761849807033,0.6074234637466145,PRE_RIGHT_AUDITED,10339369.932626352,10357990.899999999,0.00509974943894087,0.00569127788565682,0.005765249950847817,10367036.515451815,0.005945455522878932
2015-04-08,FIXVOL,10432429.895502996,0.00959436902803068,7984.045721439763,-0.0,235.24140191729373,0.6056347431314676,PRE_RIGHT_AUDITED,10440413.941224435,10459270.15,0.00959436902803068,0.009772743335088041,0.009777885593624358,10477166.225509537,0.010623065703837068
2015-04-09,FIXVOL,10448598.07630859,0.0015498000914018206,11863.101953953288,-0.0,311.0129618911549,0.597406561570533,PRE_RIGHT_AUDITED,10460461.178262543,10479628.399999999,0.0015498000914018206,0.0019201572994103078,0.0019464312239796389,10496897.170081327,0.0018832329417233296
2015-04-10,FIXVOL,10476304.826308588,0.002651719378776951,11863.101953953288,-0.0,0.0,0.5984713029975097,PRE_RIGHT_AUDITED,10488167.928262541,10507335.149999997,0.002651719378776951,0.0026487120909710615,0.002643867601259453,10525765.571273109,0.002750184242450558
2015-04-13,FIXVOL,10463377.926308589,-0.001233917895128056,11863.101953953288,-0.0,0.0,0.597975237448713,PRE_RIGHT_AUDITED,10475241.028262543,10494408.249999998,-0.001233917895128056,-0.0012325222182192341,-0.001230273881574817,10510289.546136713,-0.001470299241570846
2015-04-15,FIXVOL,10409912.626308588,-0.005109755222122869,11863.101953953288,-0.0,0.0,0.5959104387026686,PRE_RIGHT_AUDITED,10421775.728262542,10440942.949999997,-0.005109755222122869,-0.0051039684772645755,-0.005094646475183651,10453546.738431348,-0.005398786347063364
2015-04-16,FIXVOL,10315547.476308588,-0.009064931991985659,11863.101953953288,-0.0,0.0,0.5922138853056886,PRE_RIGHT_AUDITED,10327410.578262541,10346577.799999997,-0.009064931991985659,-0.009054613384559262,-0.00903799115193904,10354030.07786733,-0.009519894353000446
2015-04-17,FIXVOL,10224377.676308589,-0.008838096107781523,11863.101953953288,-0.0,0.0,0.5885776954370765,PRE_RIGHT_AUDITED,10236240.778262543,10255407.999999998,-0.008838096107781523,-0.008827943782141912,-0.008811589857276148,10252240.55977657,-0.009830908093298094
2015-04-20,FIXVOL,10085603.676308589,-0.013572855423911068,11863.101953953288,-0.0,0.0,0.5829166838877596,PRE_RIGHT_AUDITED,10097466.778262543,10116633.999999998,-0.013572855423911068,-0.013557125414116578,-0.013531787326257483,10102295.009117078,-0.014625637175134888
2015-04-21,FIXVOL,10088013.626308588,0.00023894950439706797,11863.101953953288,-0.0,0.0,0.5830163219309759,PRE_RIGHT_AUDITED,10099876.728262542,10119043.949999997,0.00023894950439706797,0.00023866877236855544,0.00023821658468614615,10107552.265104877,0.0005204021445677359
2015-04-22,FIXVOL,10087859.976308588,-1.5230946913025178e-05,11863.101953953288,-0.0,0.0,0.5830099707779777,PRE_RIGHT_AUDITED,10099723.078262541,10118890.299999997,-1.5230946913025178e-05,-1.521305696439157e-05,-1.5184240799825943e-05,10107671.352779802,1.1782048887768938e-05
2015-04-23,FIXVOL,10090294.026308589,0.00024128506994713916,11863.101953953288,-0.0,0.0,0.5831105599756741,PRE_RIGHT_AUDITED,10102157.128262542,10121324.349999998,0.00024128506994713916,0.00024100165728691003,0.00024054515147775568,10111719.565544648,0.0004005089425206032
