date,tri,index_name,source_file,tri_return,calendar_gap_days
2013-07-08,6267.69,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.007617403970993419,3.0
2013-07-09,6322.15,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.008689006635618446,1.0
2013-07-10,6284.17,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.006007449997231906,1.0
2013-07-11,6389.64,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.01678344156825795,1.0
2013-07-12,6452.31,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.009808064304092312,1.0
2013-07-15,6488.25,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.00557009815089482,3.0
2013-07-16,6406.0,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.012676761838708472,1.0
2013-07-17,6407.99,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.0003106462691226941,1.0
2013-07-18,6479.41,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.011145460589045975,1.0
2013-07-19,6459.04,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.003143804760001312,1.0
2013-07-22,6456.87,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.0003359632391191081,3.0
2013-07-23,6498.28,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.006413324102854778,1.0
2013-07-24,6397.24,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.015548729817736362,1.0
2013-07-25,6319.02,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.012227147957556639,1.0
2013-07-26,6285.39,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.005322027782789118,1.0
2013-07-29,6219.91,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.010417810191571286,3.0
2013-07-30,6124.51,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.015337842508975186,1.0
2013-07-31,6109.86,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.002392028096941723,1.0
2013-08-01,6074.32,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.005816827226810428,1.0
2013-08-02,6019.93,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.008954088688116424,1.0
2013-08-05,6031.75,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.001963477980641004,3.0
2013-08-06,5879.75,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.025199983421063554,1.0
2013-08-07,5879.46,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-4.932182490746673e-05,1.0
2013-08-08,5930.39,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.008662360148721238,1.0
2013-08-12,5990.61,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.010154475506669813,4.0
2013-08-13,6086.76,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.016050118435351424,1.0
2013-08-14,6131.24,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.007307664504596856,1.0
2013-08-16,5897.1,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.03818803374195101,2.0
2013-08-19,5796.21,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.017108409218090315,3.0
2013-08-20,5777.38,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.0032486745649311644,1.0
2013-08-21,5681.15,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.01665633903257191,1.0
2013-08-22,5774.59,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.016447374211207233,1.0
2013-08-23,5840.98,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.01149692012766268,1.0
2013-08-26,5856.18,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.00260230303818898,3.0
2013-08-27,5669.34,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.03190475702591111,1.0
2013-08-28,5651.37,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.003169681126903745,1.0
2013-08-29,5770.62,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.021101078145653096,1.0
2013-08-30,5831.25,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.010506669993865403,1.0
2013-09-02,5914.21,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.014226795284030036,3.0
2013-09-03,5716.38,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.03344994513214783,1.0
2013-09-04,5816.37,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.01749183924091824,1.0
2013-09-05,5957.06,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.02418862623939,1.0
2013-09-06,6036.03,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.013256539299587367,1.0
2013-09-10,6237.55,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.033386182639914,4.0
2013-09-11,6273.78,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.00580837027358494,1.0
2013-09-12,6213.34,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.009633745525026272,1.0
2013-09-13,6219.72,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.0010268229325933742,1.0
2013-09-16,6206.48,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.0021287131896613465,3.0
2013-09-17,6211.73,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.0008458901019579024,1.0
2013-09-18,6259.12,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.007629114594484898,1.0
2013-09-19,6469.18,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.033560628331139375,1.0
