membership_symbol,identity_id,canonical_symbol,aliases,observed_in_prices
COREEDUTEC,ID_4df52d7335f1,COREEDUTEC,COREEDUTEC;COREPROTEC,True
COROMANDEL,ID_f029f2cb100b,COROMANDEL,COROMANDEL;COROMNFERT,True
CORPBANK,ID_afede001d6fb,CORPBANK,CORPBANK,True
COX&KINGS,ID_be433b380a34,COX&KINGS,COX&KINGS,True
CPPLUS,ID_ca83fa5acff9,CPPLUS,CPPLUS,True
CRAFTSMAN,ID_529f2fb7dda4,CRAFTSMAN,CRAFTSMAN,True
CREDITACC,ID_6b5db44bb734,CREDITACC,CREDITACC,True
CRISIL,ID_770d3e8a6639,CRISIL,CRISIL,True
CROMPGREAV,ID_25bd1deae1b7,CGPOWER,CGPOWER;CROMPGREAV,True
CROMPTON,ID_75661a8fc498,CROMPTON,CROMPTON,True
CSBBANK,ID_01194c6b4816,CSBBANK,CSBBANK,True
CUB,ID_23a196b8380a,CUB,CUB,True
CUMMINSIND,ID_87b4f6fdc3e0,CUMMINSIND,CUMMINSIND;KIRLOSKCUM,True
CYIENT,ID_2e93b0a17d08,CYIENT,CYIENT;INFOTECENT,True
DABUR,ID_c3b4f0056843,DABUR,DABUR,True
DALBHARAT,ID_387f477acfb1,DALBHARAT,DALBHARAT,True
DATAPATTNS,ID_5a207eae0d5d,DATAPATTNS,DATAPATTNS,True
DBCORP,ID_8bccbb9881ff,DBCORP,DBCORP,True
DBL,ID_c36c17025b9c,DBL,DBL,True
DBREALTY,ID_3bd1d1ca0015,DBREALTY,DBREALTY,True
DCAL,ID_91e5e98abff2,DCAL,DCAL,True
DCBBANK,ID_34610c10721e,DCBBANK,DCB;DCBBANK,True
DCMSHRIRAM,ID_01d86b397825,DCMSHRIRAM,DCMSHRIRAM;DCMSRMCONS,True
DCW,ID_c6c3983ae07d,DCW,DCW,True
DEEPAKFERT,ID_3fd566546a80,DEEPAKFERT,DEEPAKFERT,True
DEEPAKNTR,ID_41a882d50bf0,DEEPAKNTR,DEEPAKNTR,True
DELHIVERY,ID_57d6370c97a7,DELHIVERY,DELHIVERY,True
DELTACORP,ID_22403b5bed3e,DELTACORP,ARROWGROUP;DELTACORP,True
DEN,ID_c1710a5eb695,DEN,DEN,True
DENABANK,ID_5bf9b6f720f6,DENABANK,DENABANK,True
DEVYANI,ID_2750b5bae425,DEVYANI,DEVYANI,True
DHANI,ID_08f5137fc33c,DHANI,DHANI;IBSEC;IBVENTURES,True
DHANUKA,ID_d3f4eb6d5603,DHANUKA,DHANUKA,True
DHFL,ID_f95cefb43b43,DHFL,DEWANHOUS;DHFL,True
DISHMAN,ID_53c8ef3ea6b6,DISHMAN,DISHMAN,True
DISHTV,ID_13d17e93b403,DISHTV,DISHTV,True
DIVISLAB,ID_b7105d8cd507,DIVISLAB,DIVISLAB,True
DIXON,ID_a14acab764e4,DIXON,DIXON,True
DLF,ID_4aa17ab0c8e6,DLF,DLF,True
DMART,ID_0465e4147182,DMART,DMART,True
DOMS,ID_4046a25cc4c7,DOMS,DOMS,True
DRDATSONS,ID_ab481e0147b6,DRDATSONS,AANJANEYA;DRDATSONS,True
DREDGECORP,ID_c06686a39798,DREDGECORP,DREDGECORP,True
DRREDDY,ID_3cc401e8ce2b,DRREDDY,DRREDDY,True
DYNAMATECH,ID_f2dfd1942caa,DYNAMATECH,DYNAMATECH,True
EASEMYTRIP,ID_6c4260ec108b,EASEMYTRIP,EASEMYTRIP,True
ECLERX,ID_caddc12a8138,ECLERX,ECLERX,True
EDELWEISS,ID_da2505a1d101,EDELWEISS,EDELWEISS,True
EDUCOMP,ID_e18887832e86,EDUCOMP,EDUCOMP,True
EICHERMOT,ID_78bb6469f8ce,EICHERMOT,EICHERMOT,True
EIDPARRY,ID_f8861a52dda7,EIDPARRY,EIDPARRY,True
EIHOTEL,ID_6f3eb3e37c8f,EIHOTEL,EIHOTEL,True
ELDERPHARM,ID_b305ea551332,ELDERPHARM,ELDERPHARM,True
ELECON,ID_9d5662778c1a,ELECON,ELECON;ELECONENGG,True
ELGIEQUIP,ID_2de210da6a45,ELGIEQUIP,ELGIEQUIP,True
EMAMILTD,ID_6b22dd3d89e5,EMAMILTD,EMAMILTD,True
EMCURE,ID_326d72d4be9f,EMCURE,EMCURE,True
EMMVEE,ID_7b1c860829cd,EMMVEE,EMMVEE,True
ENDURANCE,ID_39bd2da11ebb,ENDURANCE,ENDURANCE,True
ENGINERSIN,ID_f07c2c9fe216,ENGINERSIN,ENGINERSIN,True
ENRIN,ID_8b3d0a2d216d,ENRIN,ENRIN,True
EPIGRAL,ID_2153424d21f4,EPIGRAL,EPIGRAL;MFL,True
EPL,ID_9d719f3f0fa5,EPL,EPL;ESSELPACK,True
EQUITAS,ID_78845c05ca0b,EQUITAS,EQUITAS,True
EQUITASBNK,ID_5d3251efac02,EQUITASBNK,EQUITASBNK,True
ERAINFRA,ID_69db633442b5,ERAINFRA,ERACONS;ERAINFRA,True
ERIS,ID_0e11deab3722,ERIS,ERIS,True
EROSMEDIA,ID_4ff05e92094e,EROSMEDIA,EROSMEDIA,True
ESABINDIA,ID_d496555176d2,ESABINDIA,ESABINDIA,True
ESCORTS,ID_030c8692c9ca,ESCORTS,ESCORTS,True
ESSAROIL,ID_8b6614d101ea,ESSAROIL,ESSAROIL,True
ETERNAL,ID_b0d47425a2f1,ETERNAL,ETERNAL;ZOMATO,True
EVEREADY,ID_0bf7e5285f08,EVEREADY,EVEREADY,True
EXCELCROP,ID_5a2cc7af010d,EXCELCROP,EXCELCROP,True
EXIDEIND,ID_6eb7747f0478,EXIDEIND,CHLORIDIND;EXIDEIND,True
FACT,ID_ce9f16ef4580,FACT,FACT,True
FCEL,ID_0e71664b5a44,FCONSUMER,FCEL;FCONSUMER;FVIL,True
FDC,ID_432f42f4e757,FDC,FDC,True
FEDERALBNK,ID_665214513842,FEDERALBNK,FEDERALBNK,True
FINCABLES,ID_161e6cece7a4,FINCABLES,FINCABLES,True
FINEORG,ID_c4ccad5fedec,FINEORG,FINEORG,True
FINPIPE,ID_3461d2701863,FINPIPE,FINPIPE,True
FIRSTCRY,ID_302a89464b6b,FIRSTCRY,FIRSTCRY,True
