company_name,old_symbol,new_symbol,effective_date
Future Enterprises Limited,PRETAILDVR,FRLDVR,2013-04-11
Future Market Networks Limited,AGRE,FMNL,2012-03-06
G-TEC JAINX EDUCATION LIMITED,KEERTI,GTECJAINX,2023-09-12
GACM Technologies Limited,STAMPEDE,GATECH,2023-07-14
GACM Technologies Limited,SCAPDVR,GATECHDVR,2023-08-08
GANESH HOUSING LIMITED,GANESHHOUC,GANESHHOU,2025-09-15
GB Global Limited,MIL,GBGLOBAL,2019-09-09
GE Power India Limited,GEPIL,GVPIL,2025-08-28
GE Power India Limited,ABBALPO,APIL,2003-05-19
GE Power India Limited,AIL,GEPIL,2016-09-14
GE Power India Limited,APIL,AIL,2012-07-11
GE T&D India Limited,GECALSTHOM,AREVA,2008-06-30
GE T&D India Limited,ALSTOMT&D,GET&D,2016-09-14
GE T&D India Limited,AREVA,AREVAT&D,2008-07-14
GE T&D India Limited,AREVAT&D,ALSTOMT&D,2012-03-12
GE Vernova T&D India Limited,GET&D,GVT&D,2024-11-05
GFL Limited,GUJFLUORO,GFLLIMITED,2019-07-25
GMR AIRPORTS LIMITED,GMRINFRA,GMRAIRPORT,2024-12-11
GMR Industries Limited,GMRVASAVI,GMRINDSTRS,2006-04-28
GOCL Corporation Limited,GULFCORP,GOCLCORP,2015-11-10
GP Petroleums Limited,SAHPETRO,GULFPETRO,2015-05-06
GSL Nova Petrochemicals Limited,NOVA,GSLNOVA,2009-12-18
GSS Infotech Limited,GSSAMERICA,GSS,2011-08-24
GTL Limited,GLOBALTELE,GTL,2005-01-14
GTN Industries Limited,GTNTEXT,GTNIND,2006-02-24
GUJARAT ENERGY LIMITED,GUJGASLTD,GUJENERGY,2026-07-01
GVP Infotech Limited,4THDIM,GVPTECH,2023-07-31
Ganesh Housing Corporation Limited,GANHSGFIN,GANESHHOUC,2007-03-02
Garware Technical Fibres Limited,GARWALLROP,GARFIBRES,2018-08-13
GeeCee Ventures Limited,GWALCHEM,GEECEE,2010-03-05
Genus Power Infrastructures Limited,GENUSOVERE,GENUSPOWER,2008-01-14
Geodesic Limited,GEOINFO,GEODESIC,2008-10-06
Geojit Financial Services Limited,GEOJIT,GEOJITBNPP,2009-06-05
Geojit Financial Services Limited,GEOJITBNPP,GEOJITFSL,2017-03-02
Gillette India Limited,INDSHAVING,GILLETTE,2006-04-04
GlaxoSmithKline Consumer Healthcare Limited,SMITKLBECH,GSKCONS,2003-07-29
Global Offshore Services Limited,GARWOFFS,GLOBOFFS,2011-06-07
Glodyne Technoserve Limited,PARADYNE,GLODYNE,2007-11-19
Golden Tobacco Limited,GTCIND,GOLDENTOBC,2008-09-29
Goldkart Jewels Limited,SONAHISONA,GOLDKART,2023-12-01
Government of India,692MH2039,692GS2039,2024-11-25
Government of India,620MH2029,620GS2029,2026-08-18
Government of India,657MH2033,657GS2033A,2026-08-18
Graphite India Limited,CARBEVFLOW,GRAPHITE,2003-01-13
Greaves Cotton Limited,GREAVES,GREAVESCOT,2004-09-09
Greenply Industries Limited,MITTALLAMI,GREENPLY,2004-12-09
Groww Mutual Fund - Groww Nifty EV & New Age Automotive ETF,GROWEV,GROWWEV,2024-08-23
Gujarat Apollo Industries Limited,GUJAPOLIND,GUJAPOLLO,2007-07-06
Gujarat Apollo Industries Limited,GUJAPOLEQP,GUJAPOLIND,2007-06-04
Gulf Oil Corporation Limited,IDLCHEM,GULFOILCOR,2007-11-08
