membership_date,price_date_used,membership_symbol,status,resolved_price_symbol,alias_component
2017-03-31,2017-03-31,JSWDULUX,RESOLVED,AKZOINDIA,AKZOINDIA;ICI;JSWDULUX
2017-03-31,2017-03-31,KPIL,RESOLVED,KALPATPOWR,KALPATPOWR;KPIL
2017-03-31,2017-03-31,LTF,RESOLVED,L&TFH,L&TFH;LTF
2017-03-31,2017-03-31,MOTHERSON,RESOLVED,MOTHERSUMI,MOTHERSON;MOTHERSUMI
2017-03-31,2017-03-31,PCBL,RESOLVED,PHILIPCARB,PCBL;PHILIPCARB
2017-03-31,2017-03-31,PGHL,RESOLVED,MERCK,EMERCK;MERCK;PGHL
2017-03-31,2017-03-31,RHIM,RESOLVED,ORIENTREF,ORIENTREF;RHIM
2017-03-31,2017-03-31,RNAVAL,RESOLVED,RDEL,PIPAVAVDOC;PIPAVAVYD;RDEL;RNAVAL
2017-03-31,2017-03-31,SAMMAANCAP,RESOLVED,IBULHSGFIN,IBULHSGFIN;SAMMAANCAP
2017-03-31,2017-03-31,SCHAEFFLER,RESOLVED,FAGBEARING,FAGBEARING;FAGPRECISN;SCHAEFFLER
2017-03-31,2017-03-31,SGPC,UNRESOLVED,,SGPC
2017-03-31,2017-03-31,SHRIRAMFIN,RESOLVED,SRTRANSFIN,SHRIRAMFIN;SRTRANSFIN
2017-03-31,2017-03-31,SHTV,UNRESOLVED,,SHTV
2017-03-31,2017-03-31,STLTECH,RESOLVED,STRTECH,STLTECH;STROPTICAL;STRTECH
2017-03-31,2017-03-31,SWANCORP,RESOLVED,SWANENERGY,SWANCORP;SWANENERGY
2017-03-31,2017-03-31,TATACONSUM,RESOLVED,TATAGLOBAL,TATACONSUM;TATAGLOBAL;TATATEA
2017-03-31,2017-03-31,TMPV,RESOLVED,TATAMOTORS,TATAMOTORS;TELCO;TMPV
2017-03-31,2017-03-31,UNITDSPR,RESOLVED,MCDOWELL-N,MCDOWELL-N;UNITDSPR
2017-03-31,2017-03-31,UNOMINDA,RESOLVED,MINDAIND,MINDAIND;UNOMINDA
2017-03-31,2017-03-31,WELSPUNLIV,RESOLVED,WELSPUNIND,WELSPUNIND;WELSPUNLIV
2017-03-31,2017-03-31,ZFCVINDIA,RESOLVED,WABCOINDIA,WABCO-TVS;WABCOINDIA;ZFCVINDIA
2017-03-31,2017-03-31,ZYDUSLIFE,RESOLVED,CADILAHC,CADILAHC;ZYDUSLIFE
2018-03-28,2018-03-28,360ONE,UNRESOLVED,,360ONE;IIFLWAM
2018-03-28,2018-03-28,ABREL,RESOLVED,CENTURYTEX,ABREL;CENTURYTEX
2018-03-28,2018-03-28,ADANIENSOL,RESOLVED,ADANITRANS,ADANIENSOL;ADANITRANS
2018-03-28,2018-03-28,AEGISLOG,RESOLVED,AEGISCHEM,AEGISCHEM;AEGISLOG
2018-03-28,2018-03-28,ANGELONE,UNRESOLVED,,ANGELBRKG;ANGELONE
2018-03-28,2018-03-28,ARE&M,RESOLVED,AMARAJABAT,AMARAJABAT;ARE&M
2018-03-28,2018-03-28,BAJAJCON,RESOLVED,BAJAJCORP,BAJAJCON;BAJAJCORP
2018-03-28,2018-03-28,CHOLAHLDNG,RESOLVED,TIFIN,CHOLAHLDNG;TIFIN
2018-03-28,2018-03-28,CIEINDIA,RESOLVED,MAHINDCIE,CIEINDIA;MAHINDCIE;MAHINDFORG
2018-03-28,2018-03-28,COFORGE,RESOLVED,NIITTECH,COFORGE;NIITTECH
2018-03-28,2018-03-28,COHANCE,UNRESOLVED,,COHANCE;SUVENPHAR
2018-03-28,2018-03-28,DALBHARAT,UNRESOLVED,,DALBHARAT
2018-03-28,2018-03-28,DHANI,RESOLVED,IBVENTURES,DHANI;IBSEC;IBVENTURES
2018-03-28,2018-03-28,EPIGRAL,UNRESOLVED,,EPIGRAL;MFL
2018-03-28,2018-03-28,EPL,RESOLVED,ESSELPACK,EPL;ESSELPACK
2018-03-28,2018-03-28,GMRAIRPORT,RESOLVED,GMRINFRA,GMRAIRPORT;GMRINFRA
2018-03-28,2018-03-28,GVT&D,RESOLVED,GET&D,ALSTOMT&D;AREVA;AREVAT&D;GECALSTHOM;GET&D;GVT&D
2018-03-28,2018-03-28,HBLENGINE,RESOLVED,HBLPOWER,HBLENGINE;HBLPOWER
2018-03-28,2018-03-28,HUHTAMAKI,RESOLVED,PAPERPROD,HUHTAMAKI;PAPERPROD
2018-03-28,2018-03-28,IDFCFIRSTB,RESOLVED,IDFCBANK,IDFCBANK;IDFCFIRSTB
2018-03-28,2018-03-28,INDUSTOWER,RESOLVED,INFRATEL,INDUSTOWER;INFRATEL
2018-03-28,2018-03-28,JSWDULUX,RESOLVED,AKZOINDIA,AKZOINDIA;ICI;JSWDULUX
2018-03-28,2018-03-28,KPIL,RESOLVED,KALPATPOWR,KALPATPOWR;KPIL
2018-03-28,2018-03-28,LTF,RESOLVED,L&TFH,L&TFH;LTF
2018-03-28,2018-03-28,MOTHERSON,RESOLVED,MOTHERSUMI,MOTHERSON;MOTHERSUMI
2018-03-28,2018-03-28,PCBL,RESOLVED,PHILIPCARB,PCBL;PHILIPCARB
2018-03-28,2018-03-28,PGHL,RESOLVED,MERCK,EMERCK;MERCK;PGHL
2018-03-28,2018-03-28,RHIM,RESOLVED,ORIENTREF,ORIENTREF;RHIM
2018-03-28,2018-03-28,SAMMAANCAP,RESOLVED,IBULHSGFIN,IBULHSGFIN;SAMMAANCAP
2018-03-28,2018-03-28,SGPC,UNRESOLVED,,SGPC
2018-03-28,2018-03-28,SHRIRAMFIN,RESOLVED,SRTRANSFIN,SHRIRAMFIN;SRTRANSFIN
2018-03-28,2018-03-28,SHTV,UNRESOLVED,,SHTV
2018-03-28,2018-03-28,STLTECH,RESOLVED,STRTECH,STLTECH;STROPTICAL;STRTECH
2018-03-28,2018-03-28,SWANCORP,RESOLVED,SWANENERGY,SWANCORP;SWANENERGY
2018-03-28,2018-03-28,TATACONSUM,RESOLVED,TATAGLOBAL,TATACONSUM;TATAGLOBAL;TATATEA
2018-03-28,2018-03-28,TMPV,RESOLVED,TATAMOTORS,TATAMOTORS;TELCO;TMPV
2018-03-28,2018-03-28,UNITDSPR,RESOLVED,MCDOWELL-N,MCDOWELL-N;UNITDSPR
2018-03-28,2018-03-28,UNOMINDA,RESOLVED,MINDAIND,MINDAIND;UNOMINDA
2018-03-28,2018-03-28,WELSPUNLIV,RESOLVED,WELSPUNIND,WELSPUNIND;WELSPUNLIV
2018-03-28,2018-03-28,ZFCVINDIA,RESOLVED,WABCOINDIA,WABCO-TVS;WABCOINDIA;ZFCVINDIA
2018-03-28,2018-03-28,ZYDUSLIFE,RESOLVED,CADILAHC,CADILAHC;ZYDUSLIFE
2020-03-31,2020-03-31,360ONE,RESOLVED,IIFLWAM,360ONE;IIFLWAM
2020-03-31,2020-03-31,ABREL,RESOLVED,CENTURYTEX,ABREL;CENTURYTEX
2020-03-31,2020-03-31,ADANIENSOL,RESOLVED,ADANITRANS,ADANIENSOL;ADANITRANS
2020-03-31,2020-03-31,AEGISLOG,RESOLVED,AEGISCHEM,AEGISCHEM;AEGISLOG
2020-03-31,2020-03-31,AFFLE,UNRESOLVED,,AFFLE
2020-03-31,2020-03-31,ANGELONE,UNRESOLVED,,ANGELBRKG;ANGELONE
2020-03-31,2020-03-31,ARE&M,RESOLVED,AMARAJABAT,AMARAJABAT;ARE&M
2020-03-31,2020-03-31,ATGL,RESOLVED,ADANIGAS,ADANIGAS;ATGL
2020-03-31,2020-03-31,CIEINDIA,RESOLVED,MAHINDCIE,CIEINDIA;MAHINDCIE;MAHINDFORG
2020-03-31,2020-03-31,COFORGE,RESOLVED,NIITTECH,COFORGE;NIITTECH
2020-03-31,2020-03-31,COHANCE,RESOLVED,SUVENPHAR,COHANCE;SUVENPHAR
2020-03-31,2020-03-31,DHANI,RESOLVED,IBVENTURES,DHANI;IBSEC;IBVENTURES
2020-03-31,2020-03-31,DMART,UNRESOLVED,,DMART
2020-03-31,2020-03-31,EPIGRAL,UNRESOLVED,,EPIGRAL;MFL
2020-03-31,2020-03-31,EPL,RESOLVED,ESSELPACK,EPL;ESSELPACK
2020-03-31,2020-03-31,GMRAIRPORT,RESOLVED,GMRINFRA,GMRAIRPORT;GMRINFRA
2020-03-31,2020-03-31,GVT&D,RESOLVED,GET&D,ALSTOMT&D;AREVA;AREVAT&D;GECALSTHOM;GET&D;GVT&D
2020-03-31,2020-03-31,HBLENGINE,RESOLVED,HBLPOWER,HBLENGINE;HBLPOWER
2020-03-31,2020-03-31,HUHTAMAKI,RESOLVED,PAPERPROD,HUHTAMAKI;PAPERPROD
2020-03-31,2020-03-31,INDUSTOWER,RESOLVED,INFRATEL,INDUSTOWER;INFRATEL
2020-03-31,2020-03-31,JSWDULUX,RESOLVED,AKZOINDIA,AKZOINDIA;ICI;JSWDULUX
2020-03-31,2020-03-31,KPIL,RESOLVED,KALPATPOWR,KALPATPOWR;KPIL
2020-03-31,2020-03-31,LTF,RESOLVED,L&TFH,L&TFH;LTF
2020-03-31,2020-03-31,MOTHERSON,RESOLVED,MOTHERSUMI,MOTHERSON;MOTHERSUMI
2020-03-31,2020-03-31,PCBL,RESOLVED,PHILIPCARB,PCBL;PHILIPCARB
2020-03-31,2020-03-31,RHIM,RESOLVED,ORIENTREF,ORIENTREF;RHIM
2020-03-31,2020-03-31,SAMMAANCAP,RESOLVED,IBULHSGFIN,IBULHSGFIN;SAMMAANCAP
2020-03-31,2020-03-31,SGPC,UNRESOLVED,,SGPC
2020-03-31,2020-03-31,SHRIRAMFIN,RESOLVED,SRTRANSFIN,SHRIRAMFIN;SRTRANSFIN
2020-03-31,2020-03-31,SHTV,UNRESOLVED,,SHTV
2020-03-31,2020-03-31,STLTECH,RESOLVED,STRTECH,STLTECH;STROPTICAL;STRTECH
2020-03-31,2020-03-31,SWANCORP,RESOLVED,SWANENERGY,SWANCORP;SWANENERGY
2020-03-31,2020-03-31,TMPV,RESOLVED,TATAMOTORS,TATAMOTORS;TELCO;TMPV
2020-03-31,2020-03-31,UNITDSPR,RESOLVED,MCDOWELL-N,MCDOWELL-N;UNITDSPR
2020-03-31,2020-03-31,UNOMINDA,RESOLVED,MINDAIND,MINDAIND;UNOMINDA
2020-03-31,2020-03-31,WELSPUNLIV,RESOLVED,WELSPUNIND,WELSPUNIND;WELSPUNLIV
2020-03-31,2020-03-31,ZFCVINDIA,RESOLVED,WABCOINDIA,WABCO-TVS;WABCOINDIA;ZFCVINDIA
2020-03-31,2020-03-31,ZYDUSLIFE,RESOLVED,CADILAHC,CADILAHC;ZYDUSLIFE
2022-03-31,2022-03-31,360ONE,RESOLVED,IIFLWAM,360ONE;IIFLWAM
2022-03-31,2022-03-31,ABREL,RESOLVED,CENTURYTEX,ABREL;CENTURYTEX
2022-03-31,2022-03-31,ADANIENSOL,RESOLVED,ADANITRANS,ADANIENSOL;ADANITRANS
2022-03-31,2022-03-31,AEGISLOG,RESOLVED,AEGISCHEM,AEGISCHEM;AEGISLOG
2022-03-31,2022-03-31,ARE&M,RESOLVED,AMARAJABAT,AMARAJABAT;ARE&M
2022-03-31,2022-03-31,BCG,UNRESOLVED,,BCG;LYCOS
2022-03-31,2022-03-31,CIEINDIA,RESOLVED,MAHINDCIE,CIEINDIA;MAHINDCIE;MAHINDFORG
2022-03-31,2022-03-31,COHANCE,RESOLVED,SUVENPHAR,COHANCE;SUVENPHAR
2022-03-31,2022-03-31,EPIGRAL,RESOLVED,MFL,EPIGRAL;MFL
2022-03-31,2022-03-31,ETERNAL,RESOLVED,ZOMATO,ETERNAL;ZOMATO
2022-03-31,2022-03-31,FLUOROCHEM,UNRESOLVED,,FLUOROCHEM
2022-03-31,2022-03-31,GVT&D,RESOLVED,GET&D,ALSTOMT&D;AREVA;AREVAT&D;GECALSTHOM;GET&D;GVT&D
2022-03-31,2022-03-31,HBLENGINE,RESOLVED,HBLPOWER,HBLENGINE;HBLPOWER
2022-03-31,2022-03-31,JSWDULUX,RESOLVED,AKZOINDIA,AKZOINDIA;ICI;JSWDULUX
2022-03-31,2022-03-31,JSWENERGY,UNRESOLVED,,JSWENERGY
2022-03-31,2022-03-31,KPIL,RESOLVED,KALPATPOWR,KALPATPOWR;KPIL
2022-03-31,2022-03-31,LTF,RESOLVED,L&TFH,L&TFH;LTF
2022-03-31,2022-03-31,SAMMAANCAP,RESOLVED,IBULHSGFIN,IBULHSGFIN;SAMMAANCAP
2022-03-31,2022-03-31,SHRIRAMFIN,RESOLVED,SRTRANSFIN,SHRIRAMFIN;SRTRANSFIN
2022-03-31,2022-03-31,SWANCORP,RESOLVED,SWANENERGY,SWANCORP;SWANENERGY
2022-03-31,2022-03-31,TMPV,RESOLVED,TATAMOTORS,TATAMOTORS;TELCO;TMPV
2022-03-31,2022-03-31,TRIDENT,UNRESOLVED,,ABSHEKINDS;TRIDENT
2022-03-31,2022-03-31,UNITDSPR,RESOLVED,MCDOWELL-N,MCDOWELL-N;UNITDSPR
2022-03-31,2022-03-31,UNOMINDA,RESOLVED,MINDAIND,MINDAIND;UNOMINDA
2022-03-31,2022-03-31,WELSPUNLIV,RESOLVED,WELSPUNIND,WELSPUNIND;WELSPUNLIV
2022-03-31,2022-03-31,ZFCVINDIA,RESOLVED,WABCOINDIA,WABCO-TVS;WABCOINDIA;ZFCVINDIA
2023-03-31,2023-03-31,ABREL,RESOLVED,CENTURYTEX,ABREL;CENTURYTEX
