source_id,local_path,source_url,retrieved_at_utc,publication_date,applicable_date,effective_date_candidates,document_type,mime_type,byte_count,sha256,retrieval_status,parsed_additions,parsed_deletions,parsed_event_rows,contains_nifty500_text,parse_status,parse_error
NIFTY_13f9530ebb82,data/raw/membership_official/notices/ind_prs26072022.pdf,https://niftyindices.com/Press_Release/ind_prs26072022.pdf,2026-09-14T20:23:36.168928+00:00,2022-07-26,2022-08-08,2022-08-08,index_change_notice,application/pdf,183085,b3bb2ddf8b825968b5165bd7d80740ce71a710425b4bd15a435c5fe7cba6405f,OK,0,0,0,True,NO_BASE_INDEX_ROWS,
NIFTY_73c8f38f71f4,data/raw/membership_official/notices/ind_prs26092017.pdf,https://niftyindices.com/Press_Release/ind_prs26092017.pdf,2026-09-14T20:27:38.551480+00:00,2017-09-26,2017-10-03,2017-10-03,index_change_notice,application/pdf,475171,b779c32b9fd39093aad6bf9633e896748248a0206f46f6322153c3d2f2093437,OK,0,0,0,False,NO_BASE_INDEX_ROWS,
NIFTY_bf9ca99b9d14,data/raw/membership_official/notices/ind_prs26102020.pdf,https://niftyindices.com/Press_Release/ind_prs26102020.pdf,2026-09-14T20:16:39.231609+00:00,2020-10-26,2020-11-02,2020-11-02,index_change_notice,application/pdf,393547,74c21eec6a5356d5fc089683fcedae6c2a72b5b2f82c4290fc97a45e6f5e4d65,OK,1,1,2,True,PARSED,
NIFTY_6caa29d0b80c,data/raw/membership_official/notices/ind_prs26122017_1.pdf,https://niftyindices.com/Press_Release/ind_prs26122017_1.pdf,2026-09-14T20:27:37.680219+00:00,2017-12-26,2018-01-01,2018-01-01,index_change_notice,application/pdf,272721,2b427bbc268526ae1e07a879814574dfb8dce82e9378981cd702b9174f4ee6ce,OK,0,0,0,False,NO_BASE_INDEX_ROWS,
NIFTY_64b16d97dbdd,data/raw/membership_official/notices/ind_prs26122019.pdf,https://niftyindices.com/Press_Release/ind_prs26122019.pdf,2026-09-14T20:27:34.612265+00:00,2019-12-26,2019-12-31,2019-12-31,index_change_notice,application/pdf,386927,e84551b987c579b75ab5cf3cb9a514544fa3cf169b6e4bd8c77ce88aeeafb7c5,OK,0,0,0,False,NO_BASE_INDEX_ROWS,
NIFTY_fde681ec481f,data/raw/membership_official/notices/ind_prs27042017.pdf,https://niftyindices.com/Press_Release/ind_prs27042017.pdf,2026-09-14T20:16:41.285968+00:00,2017-04-27,2017-05-26,2017-05-26,index_change_notice,application/pdf,161532,a72ac75b320579a3bf981b43466d9569caf2dfce94d00b584d750498e110347b,OK,3,3,6,True,PARSED,
NIFTY_5b39b980c743,data/raw/membership_official/notices/ind_prs28082017.pdf,https://niftyindices.com/Press_Release/ind_prs28082017.pdf,2026-09-14T20:16:24.299128+00:00,2017-08-28,2017-09-29,2017-09-29,index_change_notice,application/pdf,378637,25aa0b2027aaced424c4ca73e6bf86fd3dea3efa74db2aecf8ada6a3196fb5a8,OK,25,25,50,True,PARSED,
NIFTY_9810c299db51,data/raw/membership_official/notices/ind_prs28082018.pdf,https://niftyindices.com/Press_Release/ind_prs28082018.pdf,2026-09-14T20:16:26.692876+00:00,2018-08-28,2018-09-28,2018-09-28,index_change_notice,application/pdf,604193,5fadad6119356497ef78ce7d062e18e1104eebad707c5850fade491fe47398be,OK,25,25,50,True,PARSED,
NIFTY_557f369ad9dc,data/raw/membership_official/notices/ind_prs28082019.pdf,https://niftyindices.com/Press_Release/ind_prs28082019.pdf,2026-09-14T20:16:28.705966+00:00,2019-08-28,2019-09-27,2019-09-27,index_change_notice,application/pdf,383239,f722969a26b18dfe12256669ff35e8b19d14ae03de5715e0e6b148dd61955e50,OK,21,21,42,True,PARSED,
NIFTY_1839a4185e66,data/raw/membership_official/notices/ind_prs29042015.pdf,https://niftyindices.com/Press_Release/ind_prs29042015.pdf,2026-09-14T20:27:44.581588+00:00,2015-04-29,2015-05-29,2015-05-29,index_change_notice,application/pdf,29895,1797bdc3ed8600364c29fc540e78abc89a84cce891e8d2af5ba2e7aaf1c761bc,OK,2,2,4,True,PARSED,
NIFTY_9c54afe11532,data/raw/membership_official/notices/ind_prs29082017.pdf,https://niftyindices.com/Press_Release/ind_prs29082017.pdf,2026-09-14T20:16:41.669478+00:00,2017-08-29,,2017-09-05;2017-09-29,index_change_notice,application/pdf,164220,2c901efcc5c3af6a8b9d353b2de9c91904bab4b40c8e68ef8540267366c46f20,OK,1,1,2,True,PARSED,
NIFTY_3bde4c5431a3,data/raw/membership_official/notices/ind_prs30032017.pdf,https://niftyindices.com/Press_Release/ind_prs30032017.pdf,2026-09-14T20:27:40.212857+00:00,2017-03-30,2017-04-03,2017-04-03,index_change_notice,application/pdf,561723,2d552cf3c994e32c2de1660c63035429a8206ca70d5ac2aec70f4e9f7ec869f9,OK,0,0,0,False,NO_BASE_INDEX_ROWS,
NIFTY_8e40fc6ac4fc,data/raw/membership_official/notices/ind_prs30092020.pdf,https://niftyindices.com/Press_Release/ind_prs30092020.pdf,2026-09-14T20:23:39.625074+00:00,2020-09-30,2020-10-08,2020-10-08,index_change_notice,application/pdf,164603,68fa724755849610a8c02a4f422e224ceafe778d4e0420eeb3637a82aca54a79,OK,0,0,0,False,NO_BASE_INDEX_ROWS,
NIFTY_4971bb2c5d62,data/raw/membership_official/notices/ind_prs31082018.pdf,https://niftyindices.com/Press_Release/ind_prs31082018.pdf,2026-09-14T20:16:31.071131+00:00,2018-08-31,2018-09-28,2018-09-28,index_change_notice,application/pdf,268836,187044ebd7fb2cd2252ea73dfc4d66fe68441e719a2a7662d65a17f4eb840095,OK,1,1,2,True,PARSED,
NIFTY_154ea5948294,data/raw/membership_official/press_release_archive.html,https://niftyindices.com/press-release,2026-09-14T20:21:12.146775+00:00,,,,press_release_archive,text/html,653618,9e9657e8559f217fd57edd4af33cc4988759e9c9601021654c75c2ba856aad50,OK,0,0,0,,NOT_APPLICABLE,
NIFTY_3453c343e307,data/raw/membership_official/snapshots/cnx500_Aug2014.pdf,https://niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataAug2014.zip,2026-09-15T06:49:24.502820+00:00,,2014-08-28,,constituent_snapshot,application/pdf,102512,1ba87c67574de4cc0f37f1798f3427352949d49cc401cdc299a32fd4fe794908,OK,0,0,0,,NOT_APPLICABLE,
NIFTY_b965590dc104,data/raw/membership_official/snapshots/cnx500_Sep2014.pdf,https://niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataSep2014.zip,2026-09-15T06:49:24.521455+00:00,,2014-09-30,,constituent_snapshot,application/pdf,102374,eb1f72f9fe9eacd6148571507513dbfc562a68836d535ed399166762a0b88125,OK,0,0,0,,NOT_APPLICABLE,
NIFTY_df1c7bc716e8,data/raw/membership_official/snapshots/cnx500_Sep2015.pdf,https://niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataSep2015.zip,2026-09-15T06:49:24.524911+00:00,,2015-09-30,,constituent_snapshot,application/pdf,102555,bb577068053a9f992e32ed0cefcf1d5c30bdd90c50918a92913a8dbceb976cd8,OK,0,0,0,,NOT_APPLICABLE,
NIFTY_a0fcab053986,data/raw/membership_official/snapshots/nifty500_Oct2015.pdf,https://niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataOct2015.zip,2026-09-15T06:49:24.514242+00:00,,2015-10-30,,constituent_snapshot,application/pdf,102574,61d279e90b2fefb98a7b32aef272020b341b7d64918723dfb6836a582b73f64f,OK,0,0,0,,NOT_APPLICABLE,
NIFTY_4b5dbca362dd,data/raw/membership_official/snapshots/NIFTY_500_Mar2021.pdf,https://niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMar2021.zip,2026-09-15T06:49:24.507191+00:00,,2021-03-31,,constituent_snapshot,application/pdf,208875,92b7f578240afadb17f6c54b756debeaa888af705e16c8b5210194b9c1ba0f02,OK,0,0,0,,NOT_APPLICABLE,
NIFTY_4dc1cde5b278,data/raw/membership_official/snapshots/NIFTY_500_Mar2022.pdf,https://niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMar2022.zip,2026-09-15T06:49:24.511191+00:00,,2022-03-31,,constituent_snapshot,application/pdf,209125,804feaf625eb5ea1a47094349fe372eba652666c1854450ce0046e6ceac33b08,OK,0,0,0,,NOT_APPLICABLE,
NIFTY_89fc6af52484,data/raw/membership_official/snapshots/NIFTY_500_Oct2020.pdf,https://niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataOct2020.zip,2026-09-15T06:49:24.518196+00:00,,2020-10-30,,constituent_snapshot,application/pdf,208356,f1b256a00bb8dcf22627e70f33ddc28c16a7184d99898adddaef325228bd9d60,OK,0,0,0,,NOT_APPLICABLE,
NIFTY_de8832ba5489,data/raw/membership_official/snapshots/NIFTY_500_Sep2020.pdf,https://niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataSep2020.zip,2026-09-15T06:49:24.528177+00:00,,2020-09-30,,constituent_snapshot,application/pdf,208357,bb2fbb500ec2bab054a6f7a6ae15f32d8bf8d3a8a6d3a30b96ab23016211260b,OK,0,0,0,,NOT_APPLICABLE,
NIFTY_f8559f2c341d,data/raw/membership_official/snapshots/NIFTY_500_Sep2021.pdf,https://niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataSep2021.zip,2026-09-15T06:49:24.531492+00:00,,2021-09-30,,constituent_snapshot,application/pdf,209034,93a689ee91f515789acdc5370f98fd4305b16ee81b3daf4b52f131a00acde37c,OK,0,0,0,,NOT_APPLICABLE,
