as_of_date,symbol,security_name,industry,source_file,source_page,security_id,identity_match_method,identity_candidate_count
2014-08-28,ENGINERSIN,Engineers India Ltd.,ENGINEERING,cnx500_Aug2014.pdf,5,NSE_7468CCFC85B1,ACTIVE_DATE_MATCH,1
2014-08-28,ENIL,Entertainment Network India Ltd.,MEDIA & ENTERTAINMENT,cnx500_Aug2014.pdf,5,NSE_78493707FA85,ACTIVE_DATE_MATCH,1
2014-08-28,ERAINFRA,Era Infra Engineering Ltd.,CONSTRUCTION,cnx500_Aug2014.pdf,5,NSE_2E631416E138,ACTIVE_DATE_MATCH,1
2014-08-28,EROSMEDIA,Eros Intl Media Ltd.,MEDIA & ENTERTAINMENT,cnx500_Aug2014.pdf,5,NSE_5746654C1D62,ACTIVE_DATE_MATCH,1
2014-08-28,ESABINDIA,ESAB India Ltd.,ELECTRODES,cnx500_Aug2014.pdf,5,NSE_C0628B35007C,ACTIVE_DATE_MATCH,1
2014-08-28,ESCORTS,Escorts Ltd.,AUTOMOBILES - 4 WHEELERS,cnx500_Aug2014.pdf,6,NSE_C5287A347B58,ACTIVE_DATE_MATCH,1
2014-08-28,ESSDEE,Ess Dee Aluminium Ltd.,PACKAGING,cnx500_Aug2014.pdf,6,NSE_6486648C9FB1,ACTIVE_DATE_MATCH,1
2014-08-28,ESSELPACK,Essel Propack Ltd.,PACKAGING,cnx500_Aug2014.pdf,6,NSE_896195354D53,ACTIVE_DATE_MATCH,1
2014-08-28,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,cnx500_Aug2014.pdf,6,NSE_639260FA287A,ACTIVE_DATE_MATCH,1
2014-08-28,FAGBEARING,Fag Bearings India Ltd.,BEARINGS,cnx500_Aug2014.pdf,6,NSE_6FAC06CB1C73,ACTIVE_DATE_MATCH,1
2014-08-28,FDC,FDC Ltd.,PHARMACEUTICALS,cnx500_Aug2014.pdf,6,NSE_F0C8DB46A2B5,ACTIVE_DATE_MATCH,1
2014-08-28,FEDERALBNK,Federal Bank Ltd.,BANKS,cnx500_Aug2014.pdf,6,NSE_1788C1AB50E0,ACTIVE_DATE_MATCH,1
2014-08-28,FINANTECH,Financial Technologies (India) Ltd.,COMPUTERS - SOFTWARE,cnx500_Aug2014.pdf,6,NSE_C43FB1E82A75,ACTIVE_DATE_MATCH,1
2014-08-28,FINCABLES,Finolex Cables Ltd.,CABLES - POWER,cnx500_Aug2014.pdf,6,NSE_236B5AF21B4D,ACTIVE_DATE_MATCH,1
2014-08-28,FINPIPE,Finolex Industries Ltd.,PLASTIC AND PLASTIC PRODUCTS,cnx500_Aug2014.pdf,6,NSE_F25DF5546A52,ACTIVE_DATE_MATCH,1
2014-08-28,FLEXITUFF,Flexituff International Ltd.,PACKAGING,cnx500_Aug2014.pdf,6,NSE_70031FDFB6EF,ACTIVE_DATE_MATCH,1
2014-08-28,FMGOETZE,Federal-Mogul Goetze (India) Ltd.,AUTO ANCILLARIES,cnx500_Aug2014.pdf,6,NSE_EFD7B6E7FD96,ACTIVE_DATE_MATCH,1
2014-08-28,FORTIS,Fortis Healthcare Ltd.,MISCELLANEOUS,cnx500_Aug2014.pdf,6,NSE_AD5A80C76970,ACTIVE_DATE_MATCH,1
2014-08-28,FRL,Future Retail Ltd.,MISCELLANEOUS,cnx500_Aug2014.pdf,6,NSE_EF0E9934D1DE,ACTIVE_DATE_MATCH,1
2014-08-28,FSL,Firstsource Solutions Ltd.,COMPUTERS - SOFTWARE,cnx500_Aug2014.pdf,6,NSE_321E52290F1B,ACTIVE_DATE_MATCH,1
2014-08-28,GABRIEL,Gabriel India Ltd.,AUTO ANCILLARIES,cnx500_Aug2014.pdf,6,NSE_675CFCEE5D02,ACTIVE_DATE_MATCH,1
2014-08-28,GAIL,GAIL (India) Ltd.,GAS,cnx500_Aug2014.pdf,6,NSE_1A8C5F9B8D6A,ACTIVE_DATE_MATCH,1
2014-08-28,GAMMNINFRA,Gammon Infrastructure Projects Ltd.,CONSTRUCTION,cnx500_Aug2014.pdf,6,NSE_5E4BFA7651A2,ACTIVE_DATE_MATCH,1
2014-08-28,GAMMONIND,Gammon India Ltd.,CONSTRUCTION,cnx500_Aug2014.pdf,6,NSE_3677464F31DF,ACTIVE_DATE_MATCH,1
2014-08-28,GATI,Gati Ltd.,TRAVEL AND TRANSPORT,cnx500_Aug2014.pdf,6,NSE_364D63478B99,ACTIVE_DATE_MATCH,1
2014-08-28,GDL,Gateway Distriparks Ltd.,TRAVEL AND TRANSPORT,cnx500_Aug2014.pdf,6,NSE_680430C14CBF,ACTIVE_DATE_MATCH,1
2014-08-28,GEOJITBNPP,Geojit BNP Paribas Financial Services Ltd.,FINANCE,cnx500_Aug2014.pdf,6,NSE_1FE8B4643571,ACTIVE_DATE_MATCH,1
2014-08-28,GEOMETRIC,Geometric Ltd.,COMPUTERS - SOFTWARE,cnx500_Aug2014.pdf,6,NSE_3CC9204EE206,ACTIVE_DATE_MATCH,1
2014-08-28,GESHIP,Great Eastern Shipping Co. Ltd.,SHIPPING,cnx500_Aug2014.pdf,6,NSE_B1CE9DB32D9A,ACTIVE_DATE_MATCH,1
2014-08-28,GHCL,GHCL Ltd.,CHEMICALS - INORGANIC,cnx500_Aug2014.pdf,6,NSE_5D0160460CD9,ACTIVE_DATE_MATCH,1
2014-08-28,GILLETTE,Gillette India Ltd.,PERSONAL CARE,cnx500_Aug2014.pdf,6,NSE_E02C0941D910,ACTIVE_DATE_MATCH,1
2014-08-28,GIPCL,Gujarat Industries Power Co. Ltd.,POWER,cnx500_Aug2014.pdf,6,NSE_D3F406024851,ACTIVE_DATE_MATCH,1
2014-08-28,GITANJALI,Gitanjali Gems Ltd.,GEMS JEWELLERY AND WATCHES,cnx500_Aug2014.pdf,7,NSE_0711207C900A,ACTIVE_DATE_MATCH,1
2014-08-28,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,cnx500_Aug2014.pdf,7,NSE_13077239C5DD,ACTIVE_DATE_MATCH,1
2014-08-28,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,cnx500_Aug2014.pdf,7,NSE_5CBAF7C90A41,ACTIVE_DATE_MATCH,1
2014-08-28,GMDCLTD,Gujarat Mineral Development Corporation Ltd.,MINING,cnx500_Aug2014.pdf,7,NSE_FD88B4145E09,ACTIVE_DATE_MATCH,1
2014-08-28,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,cnx500_Aug2014.pdf,7,NSE_22A49E238B39,ACTIVE_DATE_MATCH,1
2014-08-28,GNFC,Gujarat Narmada Valley Fertilisers and Chemicals Ltd.,FERTILISERS,cnx500_Aug2014.pdf,7,NSE_D448CCCD5389,ACTIVE_DATE_MATCH,1
2014-08-28,GODFRYPHLP,Godfrey Phillips India Ltd.,CIGARETTES,cnx500_Aug2014.pdf,7,NSE_5D9BA58A585C,ACTIVE_DATE_MATCH,1
2014-08-28,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,cnx500_Aug2014.pdf,7,NSE_A70C90104344,ACTIVE_DATE_MATCH,1
2014-08-28,GODREJIND,Godrej Industries Ltd.,FOOD AND FOOD PROCESSING,cnx500_Aug2014.pdf,7,NSE_EC183F69A7A2,ACTIVE_DATE_MATCH,1
2014-08-28,GODREJPROP,Godrej Properties Ltd.,CONSTRUCTION,cnx500_Aug2014.pdf,7,NSE_E5CCB4E0101D,ACTIVE_DATE_MATCH,1
2014-08-28,GPPL,Gujarat Pipavav Port Ltd.,SHIPPING,cnx500_Aug2014.pdf,7,NSE_454B05422EF3,ACTIVE_DATE_MATCH,1
2014-08-28,GRAPHITE,Graphite India Ltd.,ELECTRODES,cnx500_Aug2014.pdf,7,NSE_0F72F66469D6,ACTIVE_DATE_MATCH,1
2014-08-28,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,cnx500_Aug2014.pdf,7,NSE_951F0DE091F9,ACTIVE_DATE_MATCH,1
2014-08-28,GREAVESCOT,Greaves Cotton Ltd.,DIESEL ENGINES,cnx500_Aug2014.pdf,7,NSE_57BC5308EED3,ACTIVE_DATE_MATCH,1
2014-08-28,GRUH,Gruh Finance Ltd.,FINANCE - HOUSING,cnx500_Aug2014.pdf,7,NSE_E102D7DE4C2C,ACTIVE_DATE_MATCH,1
2014-08-28,GSFC,Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS,cnx500_Aug2014.pdf,7,NSE_52C720CDD175,ACTIVE_DATE_MATCH,1
2014-08-28,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,cnx500_Aug2014.pdf,7,NSE_FED8B098DEA5,ACTIVE_DATE_MATCH,1
2014-08-28,GSPL,Gujarat State Petronet Ltd.,GAS,cnx500_Aug2014.pdf,7,NSE_3BA87308039E,ACTIVE_DATE_MATCH,1
2014-08-28,GTLINFRA,GTL Infrastructure Ltd.,TELECOMMUNICATION - EQUIPMENT,cnx500_Aug2014.pdf,7,NSE_9F5985EF710B,ACTIVE_DATE_MATCH,1
2014-08-28,GTOFFSHORE,GOL Offshore Ltd.,OIL EXPLORATION/PRODUCTION,cnx500_Aug2014.pdf,7,NSE_364A9E7B44C1,ACTIVE_DATE_MATCH,1
2014-08-28,GUJALKALI,Gujarat Alkalies & Chemicals Ltd.,CHEMICALS - INORGANIC,cnx500_Aug2014.pdf,7,NSE_9E4C0423BFF8,ACTIVE_DATE_MATCH,1
2014-08-28,GUJFLUORO,Gujarat Fluorochemicals Ltd.,CHEMICALS - ORGANIC,cnx500_Aug2014.pdf,7,NSE_6835A4E7227D,ACTIVE_DATE_MATCH,1
2014-08-28,GUJNRECOKE,Gujarat NRE Coke Ltd.,MINING,cnx500_Aug2014.pdf,7,NSE_82022647EC12,ACTIVE_DATE_MATCH,1
2014-08-28,GUJRATGAS,Gujarat Gas Co. Ltd.,GAS,cnx500_Aug2014.pdf,7,NSE_436838D37F74,ACTIVE_DATE_MATCH,1
2014-08-28,GVKPIL,GVK Power & Infrastructures Ltd.,POWER,cnx500_Aug2014.pdf,7,NSE_24552B404E28,ACTIVE_DATE_MATCH,1
2014-08-28,HATHWAY,Hathway Cable & Datacom Ltd.,MEDIA & ENTERTAINMENT,cnx500_Aug2014.pdf,7,NSE_BC781E1A1FE3,ACTIVE_DATE_MATCH,1
2014-08-28,HAVELLS,Havells India Ltd.,ELECTRICAL EQUIPMENT,cnx500_Aug2014.pdf,7,NSE_72A66325D884,ACTIVE_DATE_MATCH,1
2014-08-28,HCC,Hindustan Construction Co. Ltd.,CONSTRUCTION,cnx500_Aug2014.pdf,8,NSE_B3012E7D6C4A,ACTIVE_DATE_MATCH,1
2014-08-28,HCL-INSYS,HCL Infosystems Ltd.,COMPUTERS - HARDWARE,cnx500_Aug2014.pdf,8,NSE_AB585951AF9C,ACTIVE_DATE_MATCH,1
2014-08-28,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,cnx500_Aug2014.pdf,8,NSE_E50226C18398,ACTIVE_DATE_MATCH,1
2014-08-28,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,cnx500_Aug2014.pdf,8,NSE_73D805F2042F,ACTIVE_DATE_MATCH,1
2014-08-28,HDFCBANK,HDFC Bank Ltd.,BANKS,cnx500_Aug2014.pdf,8,NSE_A2FDD2855BD3,ACTIVE_DATE_MATCH,1
2014-08-28,HDIL,Housing Development and Infrastructure Ltd.,CONSTRUCTION,cnx500_Aug2014.pdf,8,NSE_0359BC4768A2,ACTIVE_DATE_MATCH,1
2014-08-28,HEG,H.E.G. Ltd.,ELECTRODES,cnx500_Aug2014.pdf,8,NSE_2EF7833DA8D3,ACTIVE_DATE_MATCH,1
2014-08-28,HERITGFOOD,Heritage Foods Ltd.,FOOD AND FOOD PROCESSING,cnx500_Aug2014.pdf,8,NSE_EEAD76022193,ACTIVE_DATE_MATCH,1
2014-08-28,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,cnx500_Aug2014.pdf,8,NSE_314CB242F7B1,ACTIVE_DATE_MATCH,1
2014-08-28,HEXAWARE,Hexaware Technologies Ltd.,COMPUTERS - SOFTWARE,cnx500_Aug2014.pdf,8,NSE_5813C47C6758,ACTIVE_DATE_MATCH,1
2014-08-28,HFCL,Himachal Fut Com Ltd.,TELECOMMUNICATION - EQUIPMENT,cnx500_Aug2014.pdf,8,NSE_50ECD2EB14F1,ACTIVE_DATE_MATCH,1
2014-08-28,HIMATSEIDE,Himatsingka Seide Ltd.,TEXTILE PRODUCTS,cnx500_Aug2014.pdf,8,NSE_CC0C56B55A2D,ACTIVE_DATE_MATCH,1
2014-08-28,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,cnx500_Aug2014.pdf,8,NSE_A1266372E70C,ACTIVE_DATE_MATCH,1
2014-08-28,HINDCOPPER,Hindustan Copper Ltd.,METALS,cnx500_Aug2014.pdf,8,NSE_65E465B618B4,ACTIVE_DATE_MATCH,1
2014-08-28,HINDOILEXP,Hindustan Oil Exploration Co. Ltd.,OIL EXPLORATION/PRODUCTION,cnx500_Aug2014.pdf,8,NSE_221B7F10DD50,ACTIVE_DATE_MATCH,1
2014-08-28,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,cnx500_Aug2014.pdf,8,NSE_B0B59A3FBF07,ACTIVE_DATE_MATCH,1
2014-08-28,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,cnx500_Aug2014.pdf,8,NSE_3D974B209599,ACTIVE_DATE_MATCH,1
2014-08-28,HINDZINC,Hindustan Zinc Ltd.,METALS,cnx500_Aug2014.pdf,8,NSE_8049A5479EB1,ACTIVE_DATE_MATCH,1
2014-08-28,HONAUT,Honeywell Automation India Ltd.,ELECTRONICS - INDUSTRIAL,cnx500_Aug2014.pdf,8,NSE_5FC304B0807C,ACTIVE_DATE_MATCH,1
2014-08-28,HOTELEELA,Hotel Leelaventure Ltd.,HOTELS,cnx500_Aug2014.pdf,8,NSE_2067B53F47F0,ACTIVE_DATE_MATCH,1
2014-08-28,HSIL,HSIL Ltd.,PACKAGING,cnx500_Aug2014.pdf,8,NSE_CBDF2B22A73F,ACTIVE_DATE_MATCH,1
2014-08-28,HTMEDIA,HT Media Ltd.,PRINTING AND PUBLISHING,cnx500_Aug2014.pdf,8,NSE_D5ACCFD1139D,ACTIVE_DATE_MATCH,1
2014-08-28,HUBTOWN,Hubtown Ltd.,CONSTRUCTION,cnx500_Aug2014.pdf,8,NSE_51509B72C100,ACTIVE_DATE_MATCH,1
2014-08-28,IBPOW,Indiabulls Power Ltd.,POWER,cnx500_Aug2014.pdf,8,NSE_D8E4AC26C341,ACTIVE_DATE_MATCH,1
2014-08-28,IBREALEST,Indiabulls Real Estate Ltd.,CONSTRUCTION,cnx500_Aug2014.pdf,8,NSE_3365743DE28C,ACTIVE_DATE_MATCH,1
2014-08-28,IBSEC,Indiabulls Securities Ltd.,FINANCE,cnx500_Aug2014.pdf,8,NSE_B0F020774F39,ACTIVE_DATE_MATCH,1
2014-08-28,IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,cnx500_Aug2014.pdf,8,NSE_D3148EEB7BF0,ACTIVE_DATE_MATCH,1
2014-08-28,ICICIBANK,ICICI Bank Ltd.,BANKS,cnx500_Aug2014.pdf,9,NSE_63BFA94D0485,ACTIVE_DATE_MATCH,1
2014-08-28,ICRA,ICRA Ltd.,FINANCE,cnx500_Aug2014.pdf,9,NSE_23C7CF9A3EAE,ACTIVE_DATE_MATCH,1
2014-08-28,IDBI,IDBI Bank Ltd.,BANKS,cnx500_Aug2014.pdf,9,NSE_EFEED9FE6AF2,ACTIVE_DATE_MATCH,1
2014-08-28,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,cnx500_Aug2014.pdf,9,NSE_80AB9D46A211,ACTIVE_DATE_MATCH,1
2014-08-28,IDFC,IDFC Ltd.,FINANCIAL INSTITUTION,cnx500_Aug2014.pdf,9,NSE_1671B749B56F,ACTIVE_DATE_MATCH,1
2014-08-28,IFCI,IFCI Ltd.,FINANCIAL INSTITUTION,cnx500_Aug2014.pdf,9,NSE_4F2FFAFFC4C4,ACTIVE_DATE_MATCH,1
2014-08-28,IGL,Indraprastha Gas Ltd.,GAS,cnx500_Aug2014.pdf,9,NSE_1CC155F94220,ACTIVE_DATE_MATCH,1
