security_id,published_symbol,membership_from,membership_to,listing_or_first_observed_date,date_evidence,days_membership_precedes_reference,status
NSE_3AF2F9101694,KALYANKJIL,2021-09-30,,2021-03-26,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_3AFC08334F23,ORBITCORP,2014-08-28,2014-09-19,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_3B3D41C8CF5F,ICICIPRULI,2017-03-31,,2016-09-29,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_3B598B9F02C0,SUPRAJIT,2016-09-30,2017-03-31,2005-02-18,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_3B598B9F02C0,SUPRAJIT,2017-09-29,2018-04-02,2005-02-18,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_3B598B9F02C0,SUPRAJIT,2019-03-29,,2005-02-18,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_3B67FE1904B0,NITINFIRE,2014-09-19,2017-09-29,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_3BA10F0A3FEB,DBREALTY,2014-08-28,2018-09-28,2010-02-24,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_3BA87308039E,GSPL,2014-08-28,,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_3BC23EE3CDD9,SUVEN,2015-03-27,2020-01-16,2003-10-23,CURRENT_NSE_EQUITY_MASTER,0,PASS
